selection_name,layer,k,alpha,control_type,intervention,n,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,delta_toward_no_median,yes_to_no_flips,yes_to_no_flip_rate,patched_no_count,patched_no_rate,normal_yes_rate,num_layers_patched,num_neurons_patched
layerwise_ci_top_delta_steer,26,50,2.0,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7832236842105263,-0.018092105263157895,-0.03125,0,0.0,0,0.0,1.0,1,50
layerwise_ci_top_delta_steer,22,10,1.5,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7838815789473684,-0.01875,-0.03125,0,0.0,0,0.0,1.0,1,10
layerwise_ci_top_delta_steer,22,10,3.0,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7838815789473684,-0.01875,-0.03125,0,0.0,0,0.0,1.0,1,10
global_multilayer_ci_top_delta_steer,multi,100,1.5,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7842105263157895,-0.019078947368421053,-0.03125,0,0.0,0,0.0,1.0,5,100
global_multilayer_ci_top_delta_steer,multi,500,0.5,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7842105263157895,-0.019078947368421053,-0.03125,0,0.0,0,0.0,1.0,5,500
layerwise_ci_top_delta_steer,20,1,0.25,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7842105263157895,-0.019078947368421053,-0.03125,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top_delta_steer,23,100,0.25,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7842105263157895,-0.019078947368421053,-0.03125,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top_delta_steer,22,200,0.5,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7848684210526315,-0.019736842105263157,-0.03125,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,23,100,1.5,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7848684210526315,-0.019736842105263157,-0.03125,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top_delta_steer,20,100,2.0,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7851973684210526,-0.02006578947368421,-0.03125,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top_delta_steer,26,200,1.5,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7851973684210526,-0.02006578947368421,-0.03125,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,26,500,1.0,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7851973684210526,-0.02006578947368421,-0.03125,0,0.0,0,0.0,1.0,1,500
