level,selection_name,control_type,layer,k,alpha,random_id,n,normal_no_count,normal_margin_mean,patched_margin_mean,delta_toward_yes_mean,patched_yes_count,patched_yes_rate,no_to_yes_flips,no_to_yes_flip_rate
vignette,L22_random_top100_r0,random_neurons,22,100,1.0,0,485.0,485.0,-24.088498711340208,-24.088724226804125,-0.00022551546391752579,0.0,0.0,0.0,0.0
vignette,L22_random_top100_r0,random_neurons,22,100,2.0,0,485.0,485.0,-24.088498711340208,-24.08846649484536,3.2216494845360825e-05,0.0,0.0,0.0,0.0
vignette,L22_random_top100_r0,random_neurons,22,100,4.0,0,485.0,485.0,-24.088498711340208,-24.08846649484536,3.2216494845360825e-05,0.0,0.0,0.0,0.0
vignette,L22_random_top100_r0,random_neurons,22,100,6.0,0,485.0,485.0,-24.088498711340208,-24.088434278350515,6.443298969072165e-05,0.0,0.0,0.0,0.0
vignette,L22_random_top200_r0,random_neurons,22,200,1.0,0,485.0,485.0,-24.088498711340208,-24.087789948453608,0.0007087628865979381,0.0,0.0,0.0,0.0
vignette,L22_random_top200_r0,random_neurons,22,200,2.0,0,485.0,485.0,-24.088498711340208,-24.0871456185567,0.0013530927835051546,0.0,0.0,0.0,0.0
vignette,L22_random_top200_r0,random_neurons,22,200,4.0,0,485.0,485.0,-24.088498711340208,-24.084375,0.004123711340206186,0.0,0.0,0.0,0.0
vignette,L22_random_top200_r0,random_neurons,22,200,6.0,0,485.0,485.0,-24.088498711340208,-24.081507731958762,0.006990979381443299,0.0,0.0,0.0,0.0
vignette,L22_random_top500_r0,random_neurons,22,500,1.0,0,485.0,485.0,-24.088498711340208,-24.088498711340208,0.0,0.0,0.0,0.0,0.0
vignette,L22_random_top500_r0,random_neurons,22,500,2.0,0,485.0,485.0,-24.088498711340208,-24.088498711340208,0.0,0.0,0.0,0.0,0.0
vignette,L22_random_top500_r0,random_neurons,22,500,4.0,0,485.0,485.0,-24.088498711340208,-24.088498711340208,0.0,0.0,0.0,0.0,0.0
vignette,L22_random_top500_r0,random_neurons,22,500,6.0,0,485.0,485.0,-24.088498711340208,-24.088498711340208,0.0,0.0,0.0,0.0,0.0
vignette,L22_random_top50_r0,random_neurons,22,50,1.0,0,485.0,485.0,-24.088498711340208,-24.088498711340208,0.0,0.0,0.0,0.0,0.0
vignette,L22_random_top50_r0,random_neurons,22,50,2.0,0,485.0,485.0,-24.088498711340208,-24.08840206185567,9.664948453608247e-05,0.0,0.0,0.0,0.0
vignette,L22_random_top50_r0,random_neurons,22,50,4.0,0,485.0,485.0,-24.088498711340208,-24.088434278350515,6.443298969072165e-05,0.0,0.0,0.0,0.0
vignette,L22_random_top50_r0,random_neurons,22,50,6.0,0,485.0,485.0,-24.088498711340208,-24.088369845360823,0.0001288659793814433,0.0,0.0,0.0,0.0
vignette,L22_top100,ci_top_neurons,22,100,1.0,-1,485.0,485.0,-24.088498711340208,-21.299194587628865,2.7893041237113403,0.0,0.0,0.0,0.0
vignette,L22_top100,ci_top_neurons,22,100,2.0,-1,485.0,485.0,-24.088498711340208,-16.469523195876288,7.618975515463918,2.0,0.004123711340206186,2.0,0.004123711340206186
vignette,L22_top100,ci_top_neurons,22,100,4.0,-1,485.0,485.0,-24.088498711340208,-0.8480025773195876,23.240496134020617,164.0,0.33814432989690724,164.0,0.33814432989690724
vignette,L22_top100,ci_top_neurons,22,100,6.0,-1,485.0,485.0,-24.088498711340208,16.303447164948455,40.39194587628866,485.0,1.0,485.0,1.0
vignette,L22_top200,ci_top_neurons,22,200,1.0,-1,485.0,485.0,-24.088498711340208,-21.354155927835052,2.734342783505155,0.0,0.0,0.0,0.0
vignette,L22_top200,ci_top_neurons,22,200,2.0,-1,485.0,485.0,-24.088498711340208,-16.646166237113402,7.442332474226804,2.0,0.004123711340206186,2.0,0.004123711340206186
vignette,L22_top200,ci_top_neurons,22,200,4.0,-1,485.0,485.0,-24.088498711340208,-1.341430412371134,22.747068298969072,126.0,0.2597938144329897,126.0,0.2597938144329897
vignette,L22_top200,ci_top_neurons,22,200,6.0,-1,485.0,485.0,-24.088498711340208,15.63666237113402,39.72516108247423,485.0,1.0,485.0,1.0
vignette,L22_top50,ci_top_neurons,22,50,1.0,-1,485.0,485.0,-24.088498711340208,-21.35373711340206,2.7347615979381446,0.0,0.0,0.0,0.0
vignette,L22_top50,ci_top_neurons,22,50,2.0,-1,485.0,485.0,-24.088498711340208,-16.63550257731959,7.452996134020618,2.0,0.004123711340206186,2.0,0.004123711340206186
vignette,L22_top50,ci_top_neurons,22,50,4.0,-1,485.0,485.0,-24.088498711340208,-1.2942654639175257,22.79423324742268,127.0,0.2618556701030928,127.0,0.2618556701030928
vignette,L22_top50,ci_top_neurons,22,50,6.0,-1,485.0,485.0,-24.088498711340208,15.686243556701031,39.77474226804124,485.0,1.0,485.0,1.0
vignette,L22_top500,ci_top_neurons,22,500,1.0,-1,485.0,485.0,-24.088498711340208,-21.503157216494845,2.585341494845361,0.0,0.0,0.0,0.0
vignette,L22_top500,ci_top_neurons,22,500,2.0,-1,485.0,485.0,-24.088498711340208,-17.172390463917527,6.91610824742268,2.0,0.004123711340206186,2.0,0.004123711340206186
vignette,L22_top500,ci_top_neurons,22,500,4.0,-1,485.0,485.0,-24.088498711340208,-2.9105670103092782,21.17793170103093,69.0,0.1422680412371134,69.0,0.1422680412371134
vignette,L22_top500,ci_top_neurons,22,500,6.0,-1,485.0,485.0,-24.088498711340208,13.489529639175258,37.57802835051547,485.0,1.0,485.0,1.0
