layer,k,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_yes_mean,no_to_yes_flips,no_to_yes_flip_rate
20,1,random_neurons_0,95,-0.7039473684210527,-0.7029605263157894,0.000986842105263158,0,0.0
20,1,random_neurons_1,95,-0.7039473684210527,-0.7019736842105263,0.001973684210526316,0,0.0
20,1,random_neurons_2,95,-0.7039473684210527,-0.7026315789473684,0.0013157894736842105,0,0.0
20,1,top_writer_neurons,95,-0.7039473684210527,-0.8421052631578947,-0.13815789473684212,0,0.0
20,5,random_neurons_0,95,-0.7039473684210527,-0.7009868421052632,0.0029605263157894738,0,0.0
20,5,random_neurons_1,95,-0.7039473684210527,-0.7032894736842106,0.0006578947368421052,0,0.0
20,5,random_neurons_2,95,-0.7039473684210527,-0.7003289473684211,0.003618421052631579,0,0.0
20,5,top_writer_neurons,95,-0.7039473684210527,0.45,1.1539473684210526,77,0.8105263157894737
20,10,random_neurons_0,95,-0.7039473684210527,-0.7019736842105263,0.001973684210526316,0,0.0
20,10,random_neurons_1,95,-0.7039473684210527,-0.6861842105263158,0.017763157894736842,2,0.021052631578947368
20,10,random_neurons_2,95,-0.7039473684210527,-0.6970394736842105,0.006907894736842105,0,0.0
20,10,top_writer_neurons,95,-0.7039473684210527,1.6664473684210526,2.370394736842105,91,0.9578947368421052
20,20,random_neurons_0,95,-0.7039473684210527,-0.7088815789473685,-0.004934210526315789,0,0.0
20,20,random_neurons_1,95,-0.7039473684210527,-0.7029605263157894,0.000986842105263158,0,0.0
20,20,random_neurons_2,95,-0.7039473684210527,-0.7029605263157894,0.000986842105263158,0,0.0
20,20,top_writer_neurons,95,-0.7039473684210527,2.574671052631579,3.2786184210526317,94,0.9894736842105263
20,50,random_neurons_0,95,-0.7039473684210527,-0.7098684210526316,-0.0059210526315789476,0,0.0
20,50,random_neurons_1,95,-0.7039473684210527,-0.69375,0.010197368421052632,0,0.0
20,50,random_neurons_2,95,-0.7039473684210527,-0.6907894736842105,0.013157894736842105,0,0.0
20,50,top_writer_neurons,95,-0.7039473684210527,3.2203947368421053,3.924342105263158,94,0.9894736842105263
22,1,random_neurons_0,95,-0.7039473684210527,-0.7,0.003947368421052632,0,0.0
22,1,random_neurons_1,95,-0.7039473684210527,-0.7036184210526316,0.0003289473684210526,0,0.0
22,1,random_neurons_2,95,-0.7039473684210527,-0.7009868421052632,0.0029605263157894738,0,0.0
22,1,top_writer_neurons,95,-0.7039473684210527,1.9881578947368421,2.692105263157895,93,0.9789473684210527
22,5,random_neurons_0,95,-0.7039473684210527,-0.7039473684210527,0.0,0,0.0
22,5,random_neurons_1,95,-0.7039473684210527,-0.7029605263157894,0.000986842105263158,0,0.0
22,5,random_neurons_2,95,-0.7039473684210527,-0.7019736842105263,0.001973684210526316,0,0.0
22,5,top_writer_neurons,95,-0.7039473684210527,2.2638157894736843,2.967763157894737,94,0.9894736842105263
22,10,random_neurons_0,95,-0.7039473684210527,-0.7019736842105263,0.001973684210526316,0,0.0
22,10,random_neurons_1,95,-0.7039473684210527,-0.7075657894736842,-0.003618421052631579,0,0.0
22,10,random_neurons_2,95,-0.7039473684210527,-0.7036184210526316,0.0003289473684210526,0,0.0
22,10,top_writer_neurons,95,-0.7039473684210527,2.2911184210526314,2.995065789473684,94,0.9894736842105263
22,20,random_neurons_0,95,-0.7039473684210527,-0.7019736842105263,0.001973684210526316,0,0.0
22,20,random_neurons_1,95,-0.7039473684210527,-0.7069078947368421,-0.0029605263157894738,0,0.0
22,20,random_neurons_2,95,-0.7039473684210527,-0.7032894736842106,0.0006578947368421052,0,0.0
22,20,top_writer_neurons,95,-0.7039473684210527,2.266776315789474,2.9707236842105265,94,0.9894736842105263
22,50,random_neurons_0,95,-0.7039473684210527,-0.6888157894736842,0.015131578947368421,1,0.010526315789473684
22,50,random_neurons_1,95,-0.7039473684210527,-0.7095394736842106,-0.005592105263157895,0,0.0
22,50,random_neurons_2,95,-0.7039473684210527,-0.7263157894736842,-0.02236842105263158,0,0.0
22,50,top_writer_neurons,95,-0.7039473684210527,2.5473684210526315,3.251315789473684,94,0.9894736842105263
23,1,random_neurons_0,95,-0.7039473684210527,-0.7009868421052632,0.0029605263157894738,0,0.0
23,1,random_neurons_1,95,-0.7039473684210527,-0.7026315789473684,0.0013157894736842105,0,0.0
23,1,random_neurons_2,95,-0.7039473684210527,-0.7023026315789473,0.001644736842105263,0,0.0
23,1,top_writer_neurons,95,-0.7039473684210527,-0.09013157894736842,0.6138157894736842,49,0.5157894736842106
23,5,random_neurons_0,95,-0.7039473684210527,-0.7026315789473684,0.0013157894736842105,0,0.0
23,5,random_neurons_1,95,-0.7039473684210527,-0.7032894736842106,0.0006578947368421052,0,0.0
23,5,random_neurons_2,95,-0.7039473684210527,-0.7019736842105263,0.001973684210526316,0,0.0
23,5,top_writer_neurons,95,-0.7039473684210527,1.5529605263157895,2.256907894736842,92,0.968421052631579
23,10,random_neurons_0,95,-0.7039473684210527,-0.6970394736842105,0.006907894736842105,0,0.0
23,10,random_neurons_1,95,-0.7039473684210527,-0.7026315789473684,0.0013157894736842105,0,0.0
23,10,random_neurons_2,95,-0.7039473684210527,-0.7023026315789473,0.001644736842105263,0,0.0
23,10,top_writer_neurons,95,-0.7039473684210527,1.5967105263157895,2.300657894736842,93,0.9789473684210527
23,20,random_neurons_0,95,-0.7039473684210527,-0.7032894736842106,0.0006578947368421052,0,0.0
23,20,random_neurons_1,95,-0.7039473684210527,-0.7023026315789473,0.001644736842105263,0,0.0
23,20,random_neurons_2,95,-0.7039473684210527,-0.7006578947368421,0.003289473684210526,0,0.0
23,20,top_writer_neurons,95,-0.7039473684210527,1.6220394736842105,2.325986842105263,93,0.9789473684210527
23,50,random_neurons_0,95,-0.7039473684210527,-0.7036184210526316,0.0003289473684210526,0,0.0
23,50,random_neurons_1,95,-0.7039473684210527,-0.7111842105263158,-0.007236842105263158,0,0.0
23,50,random_neurons_2,95,-0.7039473684210527,-0.6828947368421052,0.021052631578947368,1,0.010526315789473684
23,50,top_writer_neurons,95,-0.7039473684210527,1.9299342105263158,2.6338815789473684,94,0.9894736842105263
