experiment,layer,alpha,control_type,n,normal_margin_mean,intervened_margin_mean,delta_margin_mean,delta_toward_yes_mean,delta_toward_no_mean,no_to_yes_flips,no_to_yes_flip_rate,yes_to_no_flips,yes_to_no_flip_rate
A_add_direction,18,0.25,random_direction_0,95,13.41233552631579,13.181085526315789,-0.23125,-0.23125,0.23125,0,0.0,0,0.0
A_add_direction,18,0.25,random_direction_1,95,13.41233552631579,13.48157894736842,0.06924342105263158,0.06924342105263158,-0.06924342105263158,0,0.0,0,0.0
A_add_direction,18,0.25,random_direction_2,95,13.41233552631579,13.514638157894737,0.10230263157894737,0.10230263157894737,-0.10230263157894737,0,0.0,0,0.0
A_add_direction,18,0.25,real_direction,95,13.41233552631579,11.504934210526315,-1.9074013157894736,-1.9074013157894736,1.9074013157894736,0,0.0,0,0.0
A_add_direction,18,0.5,random_direction_0,95,13.41233552631579,12.933388157894736,-0.4789473684210526,-0.4789473684210526,0.4789473684210526,0,0.0,0,0.0
A_add_direction,18,0.5,random_direction_1,95,13.41233552631579,13.560032894736842,0.14769736842105263,0.14769736842105263,-0.14769736842105263,0,0.0,0,0.0
A_add_direction,18,0.5,random_direction_2,95,13.41233552631579,13.629111842105264,0.21677631578947368,0.21677631578947368,-0.21677631578947368,0,0.0,0,0.0
A_add_direction,18,0.5,real_direction,95,13.41233552631579,9.535526315789474,-3.8768092105263157,-3.8768092105263157,3.8768092105263157,0,0.0,0,0.0
A_add_direction,18,1.0,random_direction_0,95,13.41233552631579,12.40904605263158,-1.0032894736842106,-1.0032894736842106,1.0032894736842106,0,0.0,0,0.0
A_add_direction,18,1.0,random_direction_1,95,13.41233552631579,13.735855263157895,0.3235197368421053,0.3235197368421053,-0.3235197368421053,0,0.0,0,0.0
A_add_direction,18,1.0,random_direction_2,95,13.41233552631579,13.90625,0.49391447368421054,0.49391447368421054,-0.49391447368421054,0,0.0,0,0.0
A_add_direction,18,1.0,real_direction,95,13.41233552631579,5.745723684210526,-7.666611842105263,-7.666611842105263,7.666611842105263,0,0.0,5,0.05263157894736842
A_add_direction,18,1.5,random_direction_0,95,13.41233552631579,11.827302631578947,-1.5850328947368422,-1.5850328947368422,1.5850328947368422,0,0.0,0,0.0
A_add_direction,18,1.5,random_direction_1,95,13.41233552631579,13.927467105263158,0.5151315789473684,0.5151315789473684,-0.5151315789473684,0,0.0,0,0.0
A_add_direction,18,1.5,random_direction_2,95,13.41233552631579,14.249342105263159,0.8370065789473684,0.8370065789473684,-0.8370065789473684,0,0.0,0,0.0
A_add_direction,18,1.5,real_direction,95,13.41233552631579,2.5736842105263156,-10.838651315789473,-10.838651315789473,10.838651315789473,0,0.0,18,0.18947368421052632
A_add_direction,19,0.25,random_direction_0,95,13.41233552631579,13.15032894736842,-0.2620065789473684,-0.2620065789473684,0.2620065789473684,0,0.0,0,0.0
A_add_direction,19,0.25,random_direction_1,95,13.41233552631579,13.483881578947368,0.07154605263157894,0.07154605263157894,-0.07154605263157894,0,0.0,0,0.0
A_add_direction,19,0.25,random_direction_2,95,13.41233552631579,13.576315789473684,0.16398026315789474,0.16398026315789474,-0.16398026315789474,0,0.0,0,0.0
A_add_direction,19,0.25,real_direction,95,13.41233552631579,10.85328947368421,-2.559046052631579,-2.559046052631579,2.559046052631579,0,0.0,0,0.0
A_add_direction,19,0.5,random_direction_0,95,13.41233552631579,12.87236842105263,-0.5399671052631579,-0.5399671052631579,0.5399671052631579,0,0.0,0,0.0
A_add_direction,19,0.5,random_direction_1,95,13.41233552631579,13.554440789473684,0.14210526315789473,0.14210526315789473,-0.14210526315789473,0,0.0,0,0.0
A_add_direction,19,0.5,random_direction_2,95,13.41233552631579,13.73174342105263,0.3194078947368421,0.3194078947368421,-0.3194078947368421,0,0.0,0,0.0
A_add_direction,19,0.5,real_direction,95,13.41233552631579,8.135526315789473,-5.276809210526316,-5.276809210526316,5.276809210526316,0,0.0,0,0.0
A_add_direction,19,1.0,random_direction_0,95,13.41233552631579,12.279276315789474,-1.1330592105263158,-1.1330592105263158,1.1330592105263158,0,0.0,0,0.0
A_add_direction,19,1.0,random_direction_1,95,13.41233552631579,13.679111842105263,0.2667763157894737,0.2667763157894737,-0.2667763157894737,0,0.0,0,0.0
A_add_direction,19,1.0,random_direction_2,95,13.41233552631579,14.010855263157895,0.5985197368421052,0.5985197368421052,-0.5985197368421052,0,0.0,0,0.0
A_add_direction,19,1.0,real_direction,95,13.41233552631579,3.276644736842105,-10.135690789473685,-10.135690789473685,10.135690789473685,0,0.0,8,0.08421052631578947
A_add_direction,19,1.5,random_direction_0,95,13.41233552631579,11.631578947368421,-1.7807565789473685,-1.7807565789473685,1.7807565789473685,0,0.0,0,0.0
A_add_direction,19,1.5,random_direction_1,95,13.41233552631579,13.782894736842104,0.3705592105263158,0.3705592105263158,-0.3705592105263158,0,0.0,0,0.0
A_add_direction,19,1.5,random_direction_2,95,13.41233552631579,14.265131578947368,0.852796052631579,0.852796052631579,-0.852796052631579,0,0.0,0,0.0
A_add_direction,19,1.5,real_direction,95,13.41233552631579,0.06463815789473684,-13.347697368421052,-13.347697368421052,13.347697368421052,0,0.0,44,0.4631578947368421
A_add_direction,20,0.25,random_direction_0,95,13.41233552631579,13.220230263157895,-0.19210526315789472,-0.19210526315789472,0.19210526315789472,0,0.0,0,0.0
A_add_direction,20,0.25,random_direction_1,95,13.41233552631579,13.328618421052632,-0.0837171052631579,-0.0837171052631579,0.0837171052631579,0,0.0,0,0.0
A_add_direction,20,0.25,random_direction_2,95,13.41233552631579,13.932894736842105,0.5205592105263158,0.5205592105263158,-0.5205592105263158,0,0.0,0,0.0
A_add_direction,20,0.25,real_direction,95,13.41233552631579,9.495230263157895,-3.917105263157895,-3.917105263157895,3.917105263157895,0,0.0,0,0.0
A_add_direction,20,0.5,random_direction_0,95,13.41233552631579,13.022861842105263,-0.3894736842105263,-0.3894736842105263,0.3894736842105263,0,0.0,0,0.0
A_add_direction,20,0.5,random_direction_1,95,13.41233552631579,13.21891447368421,-0.19342105263157894,-0.19342105263157894,0.19342105263157894,0,0.0,0,0.0
A_add_direction,20,0.5,random_direction_2,95,13.41233552631579,14.416447368421053,1.004111842105263,1.004111842105263,-1.004111842105263,0,0.0,0,0.0
A_add_direction,20,0.5,real_direction,95,13.41233552631579,5.785526315789474,-7.626809210526316,-7.626809210526316,7.626809210526316,0,0.0,2,0.021052631578947368
A_add_direction,20,1.0,random_direction_0,95,13.41233552631579,12.590131578947368,-0.8222039473684211,-0.8222039473684211,0.8222039473684211,0,0.0,0,0.0
A_add_direction,20,1.0,random_direction_1,95,13.41233552631579,12.911513157894737,-0.5008223684210527,-0.5008223684210527,0.5008223684210527,0,0.0,0,0.0
A_add_direction,20,1.0,random_direction_2,95,13.41233552631579,15.250822368421053,1.8384868421052631,1.8384868421052631,-1.8384868421052631,0,0.0,0,0.0
A_add_direction,20,1.0,real_direction,95,13.41233552631579,0.2631578947368421,-13.149177631578947,-13.149177631578947,13.149177631578947,0,0.0,37,0.3894736842105263
A_add_direction,20,1.5,random_direction_0,95,13.41233552631579,12.142763157894738,-1.2695723684210527,-1.2695723684210527,1.2695723684210527,0,0.0,0,0.0
A_add_direction,20,1.5,random_direction_1,95,13.41233552631579,12.448355263157895,-0.9639802631578948,-0.9639802631578948,0.9639802631578948,0,0.0,0,0.0
A_add_direction,20,1.5,random_direction_2,95,13.41233552631579,15.798190789473685,2.385855263157895,2.385855263157895,-2.385855263157895,0,0.0,0,0.0
A_add_direction,20,1.5,real_direction,95,13.41233552631579,-2.258388157894737,-15.670723684210527,-15.670723684210527,15.670723684210527,0,0.0,95,1.0
A_add_direction,21,0.25,random_direction_0,95,13.41233552631579,13.522861842105263,0.11052631578947368,0.11052631578947368,-0.11052631578947368,0,0.0,0,0.0
A_add_direction,21,0.25,random_direction_1,95,13.41233552631579,13.275,-0.13733552631578946,-0.13733552631578946,0.13733552631578946,0,0.0,0,0.0
A_add_direction,21,0.25,random_direction_2,95,13.41233552631579,13.691118421052632,0.2787828947368421,0.2787828947368421,-0.2787828947368421,0,0.0,0,0.0
