contrast,site,layer,n,mean_direction_cosine,median_direction_cosine,std_direction_cosine,mean_base_direction_norm,mean_ci_direction_norm,mean_direction_norm_ratio
AB_B_minus_A,final,0,49,0.9991257044733787,0.9991617202758789,0.0003367502677068414,0.2093319068757855,0.20841833036773058,0.9955318471525214
AB_B_minus_A,final,1,49,0.9927785055977958,0.9934481382369995,0.002365457439637069,0.26309221192282073,0.2649207765958747,1.0062996059545826
AB_B_minus_A,final,2,49,0.9925390348142508,0.9933648109436035,0.002368492236978399,0.3514933032648904,0.35384806686518144,1.0053382004471703
AB_B_minus_A,final,3,49,0.9883506322393611,0.9880061745643616,0.00311971482976459,0.41785822291763464,0.42909094265529085,1.0235387863817496
AB_B_minus_A,final,4,49,0.981335733618055,0.981703519821167,0.0074436135233057876,0.5672011229456687,0.5738480261393956,1.0081704680227366
AB_B_minus_A,final,5,49,0.9746696973333553,0.9740527868270874,0.0075329851622421085,0.5990713068417141,0.6105701461130258,1.0162281175295516
AB_B_minus_A,final,6,49,0.9761025856952278,0.9771440029144287,0.0057951536394104455,0.6368007538269977,0.6466868982023123,1.0127431655092034
AB_B_minus_A,final,7,49,0.9792207905224392,0.9800620675086975,0.005126325300046024,0.7135568273310758,0.7329100504213449,1.0256107104736258
AB_B_minus_A,final,8,49,0.9776259052510164,0.9786677360534668,0.004413732855877383,0.8604158309041238,0.8843660232972126,1.0265934835658326
AB_B_minus_A,final,9,49,0.975263736685928,0.9759902954101562,0.004888403624641663,0.8772137481339124,0.9002772849433276,1.0257224907171962
AB_B_minus_A,final,10,49,0.9676624500021642,0.9677497148513794,0.005414755792664799,1.0099666824146194,1.035521686077118,1.0244247039729817
AB_B_minus_A,final,11,49,0.9588931397515901,0.9591323137283325,0.006327502670684351,1.0573257183542057,1.102158278835063,1.0418460576783568
AB_B_minus_A,final,12,49,0.9529728074463046,0.9527491331100464,0.0075318793899056815,1.128576125417437,1.1562326453169998,1.0237186856197547
AB_B_minus_A,final,13,49,0.9567014465526659,0.9571782946586609,0.009056743864317207,1.3586525016901445,1.3923770481226396,1.0246827691342768
AB_B_minus_A,final,14,49,0.9593847029063166,0.9626455903053284,0.008940186399408124,1.656166714064929,1.6946115153176444,1.0237636743241405
AB_B_minus_A,final,15,49,0.9596692530476317,0.9597077965736389,0.010362834983126243,1.797471756837806,1.803788574374452,1.0045840011615252
AB_B_minus_A,final,16,49,0.9650106235426299,0.9649956226348877,0.010396260278540485,2.126961097425344,2.0880694827254938,0.9836678482408003
AB_B_minus_A,final,17,49,0.9641851661156635,0.967394232749939,0.012583623353198233,3.1710929773291765,2.9464368430935606,0.9307064212419803
AB_B_minus_A,final,18,49,0.9621716336328157,0.9675402045249939,0.020455150807394518,11.391222759168976,11.272013489080935,0.9821333338578375
AB_B_minus_A,final,19,49,0.9684562026237955,0.9715607166290283,0.01737162297763481,17.863485063825333,17.93668172797378,0.9951082867762688
AB_B_minus_A,final,20,49,0.9668751018387931,0.9706974625587463,0.01807130551328031,26.493736617419184,26.274686501950633,0.9834922710240506
AB_B_minus_A,final,21,49,0.9661772603891334,0.9722104072570801,0.02152474926604379,33.263022014072966,32.790963815183055,0.9780092267114247
AB_B_minus_A,final,22,49,0.9710895735390332,0.978482723236084,0.018086456308422382,45.0350869626415,45.01820591517857,0.990151976921473
AB_B_minus_A,final,23,49,0.9747958219781214,0.9812747240066528,0.015699166308767856,57.10807154129962,58.419459206717356,1.0149094740234634
AB_B_minus_A,final,24,49,0.9747448308127267,0.9829082489013672,0.017202164191176157,66.94786710155253,67.70644043902962,1.0019747682342248
AB_B_minus_A,final,25,49,0.9737446004030655,0.9819978475570679,0.019844705207099373,79.71700761756118,79.74939961336096,0.9891642138836616
