layer,head,writer_score,abs_writer_score,pre_delta_norm,contrib_gap_norm,direction_dot,n_pairs
18,15,0.9017426371574402,0.9017426371574402,2.3866360187530518,2.372544527053833,0.9017426371574402,304
18,18,0.8556698560714722,0.8556698560714722,2.239391565322876,2.372413396835327,0.8556698560714722,304
18,4,0.7217386960983276,0.7217386960983276,1.840306043624878,2.201396942138672,0.7217386960983276,304
18,13,0.5125246047973633,0.5125246047973633,1.8145490884780884,1.873307466506958,0.5125246047973633,304
18,20,0.4734363257884979,0.4734363257884979,1.7487298250198364,1.5906798839569092,0.4734363257884979,304
18,16,0.33631885051727295,0.33631885051727295,1.6863672733306885,1.3942451477050781,0.33631885051727295,304
18,5,0.20636765658855438,0.20636765658855438,1.2447826862335205,1.219204306602478,0.20636765658855438,304
18,2,0.1800837516784668,0.1800837516784668,0.9708846211433411,0.9720655679702759,0.1800837516784668,304
18,21,0.1627369076013565,0.1627369076013565,0.8459223508834839,0.7618700861930847,0.1627369076013565,304
18,27,0.0706000030040741,0.0706000030040741,0.6381424069404602,0.6988521218299866,0.0706000030040741,304
18,9,0.06454982608556747,0.06454982608556747,0.3245347738265991,0.306498259305954,0.06454982608556747,304
18,8,0.06261998414993286,0.06261998414993286,0.7173927426338196,0.5933837890625,0.06261998414993286,304
18,10,0.05641429126262665,0.05641429126262665,1.019928216934204,0.9761426448822021,0.05641429126262665,304
18,24,0.032003503292798996,0.032003503292798996,0.6596590876579285,0.5914762020111084,0.032003503292798996,304
18,11,0.029527056962251663,0.029527056962251663,0.34030306339263916,0.34867584705352783,0.029527056962251663,304
18,1,0.004780795890837908,0.004780795890837908,0.13761496543884277,0.1467427760362625,0.004780795890837908,304
18,23,-0.0003369480837136507,0.0003369480837136507,0.042210184037685394,0.0768318921327591,-0.0003369480837136507,304
18,3,-0.0007035572780296206,0.0007035572780296206,0.04604732245206833,0.045272961258888245,-0.0007035572780296206,304
18,22,-0.008028755895793438,0.008028755895793438,0.2720440924167633,0.29997649788856506,-0.008028755895793438,304
18,12,-0.012729201465845108,0.012729201465845108,0.3607698678970337,0.3915155827999115,-0.012729201465845108,304
18,14,-0.01300068013370037,0.01300068013370037,0.8033407926559448,0.6576286554336548,-0.01300068013370037,304
18,6,-0.022276148200035095,0.022276148200035095,0.2048736959695816,0.18232941627502441,-0.022276148200035095,304
18,0,-0.024812275543808937,0.024812275543808937,0.4338855743408203,0.4088474214076996,-0.024812275543808937,304
18,26,-0.025848235934972763,0.025848235934972763,0.38042470812797546,0.37920942902565,-0.025848235934972763,304
18,25,-0.026419702917337418,0.026419702917337418,0.6225536465644836,0.4797705411911011,-0.026419702917337418,304
18,19,-0.0717751532793045,0.0717751532793045,0.4596783220767975,0.5595001578330994,-0.0717751532793045,304
18,7,-0.0776921957731247,0.0776921957731247,0.7106483578681946,0.603152871131897,-0.0776921957731247,304
18,17,-0.09626063704490662,0.09626063704490662,0.5588474273681641,0.5277373194694519,-0.09626063704490662,304
