pair_index,A_act,D_act,D_minus_A_act,A_margin,D_margin
249,11.96875,-17.703125,-29.671875,8.84375,-14.8125
250,15.703125,-0.28369140625,-15.98681640625,16.296875,0.78125
251,11.96875,-8.0,-19.96875,8.84375,-4.5
252,16.421875,-3.611328125,-20.033203125,15.890625,-1.28125
253,16.140625,0.1998291015625,-15.9407958984375,14.296875,0.5
254,16.921875,0.0081329345703125,-16.913742065429688,17.03125,0.53125
255,6.78125,-27.625,-34.40625,4.5625,-22.03125
256,14.75,-1.3603515625,-16.1103515625,12.734375,0.25
257,10.125,-9.3671875,-19.4921875,8.125,-5.21875
258,15.703125,-1.291015625,-16.994140625,16.296875,0.875
259,10.578125,-3.56640625,-14.14453125,9.71875,-0.65625
260,11.96875,-3.591796875,-15.560546875,8.84375,-1.4375
261,16.421875,-12.0703125,-28.4921875,15.890625,-7.78125
262,12.0859375,-1.275390625,-13.361328125,10.765625,0.75
263,13.8984375,-0.08837890625,-13.98681640625,10.859375,0.625
264,15.703125,-4.4609375,-20.1640625,16.296875,-1.71875
265,11.96875,-0.77734375,-12.74609375,8.84375,0.4375
266,16.109375,0.6591796875,-15.4501953125,13.734375,1.09375
267,15.03125,0.167724609375,-14.863525390625,13.015625,0.65625
268,16.46875,1.740234375,-14.728515625,15.671875,2.03125
269,16.921875,0.1328125,-16.7890625,17.03125,0.96875
270,10.578125,-1.6533203125,-12.2314453125,9.71875,0.75
271,15.5,-1.3154296875,-16.8154296875,13.8125,0.125
272,12.0859375,0.8681640625,-11.2177734375,10.765625,2.15625
273,13.8984375,0.75732421875,-13.14111328125,10.859375,0.28125
274,13.9765625,-0.95458984375,-14.93115234375,11.3125,0.5625
275,15.5,-1.51171875,-17.01171875,13.8125,0.03125
276,13.9765625,-0.669921875,-14.646484375,11.3125,1.15625
277,10.125,-1.6845703125,-11.8095703125,8.125,0.15625
278,11.96875,1.1640625,-10.8046875,8.84375,1.09375
279,11.734375,-1.1357421875,-12.8701171875,8.59375,0.46875
280,14.8046875,-1.2255859375,-16.0302734375,12.046875,0.25
281,3.564453125,-15.421875,-18.986328125,3.125,-8.796875
282,3.564453125,-16.84375,-20.408203125,3.125,-10.28125
283,10.671875,-1.6865234375,-12.3583984375,7.53125,0.21875
284,15.2109375,0.10400390625,-15.10693359375,12.09375,0.375
285,14.8046875,0.6845703125,-14.1201171875,12.046875,1.1875
286,16.03125,0.1279296875,-15.9033203125,13.015625,0.9375
287,12.265625,7.359375,-4.90625,11.125,6.53125
288,8.078125,-7.08984375,-15.16796875,7.4375,-2.78125
289,14.1953125,-2.408203125,-16.603515625,12.84375,-0.53125
290,4.3046875,-15.359375,-19.6640625,4.09375,-10.125
291,14.1953125,11.5078125,-2.6875,12.84375,9.296875
292,8.078125,-2.041015625,-10.119140625,7.4375,-0.46875
293,8.078125,-8.71875,-16.796875,7.4375,-3.953125
294,12.265625,5.66015625,-6.60546875,11.125,4.375
295,4.3046875,-13.6796875,-17.984375,4.09375,-8.03125
296,12.265625,-1.3056640625,-13.5712890625,11.125,0.09375
297,10.5078125,-5.8515625,-16.359375,7.9375,-1.96875
298,10.5078125,-12.2734375,-22.78125,7.9375,-7.546875
299,10.5078125,-13.7890625,-24.296875,7.9375,-8.71875
300,10.5078125,-17.5,-28.0078125,7.9375,-12.9375
301,8.59375,-10.1484375,-18.7421875,6.40625,-5.46875
302,10.5078125,-0.95263671875,-11.46044921875,7.9375,0.71875
303,8.59375,-20.75,-29.34375,6.40625,-16.453125
