selection_name,layer,k,alpha,intervention,random_delta_toward_no_mean,random_yes_to_no_flip_rate_mean,random_patched_no_rate_mean
layerwise_ci_top_delta_steer,23,200,3.0,add_CI_D_minus_A_neuron_delta,-0.02839912280701754,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,23,500,0.25,add_CI_D_minus_A_neuron_delta,0.009978070175438596,0.0,0.0
layerwise_ci_top_delta_steer,23,500,0.5,add_CI_D_minus_A_neuron_delta,0.02543859649122807,0.007017543859649123,0.007017543859649123
layerwise_ci_top_delta_steer,23,500,1.0,add_CI_D_minus_A_neuron_delta,0.051535087719298246,0.017543859649122806,0.017543859649122806
layerwise_ci_top_delta_steer,23,500,1.5,add_CI_D_minus_A_neuron_delta,0.0787280701754386,0.05964912280701754,0.05964912280701754
layerwise_ci_top_delta_steer,23,500,2.0,add_CI_D_minus_A_neuron_delta,0.10635964912280703,0.0631578947368421,0.0631578947368421
layerwise_ci_top_delta_steer,23,500,3.0,add_CI_D_minus_A_neuron_delta,0.15778508771929825,0.10175438596491228,0.10175438596491228
layerwise_ci_top_delta_steer,26,1,0.25,add_CI_D_minus_A_neuron_delta,-0.001425438596491228,0.0,0.0
layerwise_ci_top_delta_steer,26,1,0.5,add_CI_D_minus_A_neuron_delta,-0.0020833333333333333,0.0,0.0
layerwise_ci_top_delta_steer,26,1,1.0,add_CI_D_minus_A_neuron_delta,-0.0019736842105263154,0.0,0.0
layerwise_ci_top_delta_steer,26,1,1.5,add_CI_D_minus_A_neuron_delta,-0.0027412280701754384,0.0,0.0
layerwise_ci_top_delta_steer,26,1,2.0,add_CI_D_minus_A_neuron_delta,-0.0007675438596491227,0.0,0.0
layerwise_ci_top_delta_steer,26,1,3.0,add_CI_D_minus_A_neuron_delta,-0.0010964912280701756,0.0,0.0
layerwise_ci_top_delta_steer,26,5,0.25,add_CI_D_minus_A_neuron_delta,-0.0018640350877192982,0.0,0.0
layerwise_ci_top_delta_steer,26,5,0.5,add_CI_D_minus_A_neuron_delta,-0.0018640350877192982,0.0,0.0
layerwise_ci_top_delta_steer,26,5,1.0,add_CI_D_minus_A_neuron_delta,-0.001425438596491228,0.0,0.0
layerwise_ci_top_delta_steer,26,5,1.5,add_CI_D_minus_A_neuron_delta,-0.0015350877192982458,0.0,0.0
layerwise_ci_top_delta_steer,26,5,2.0,add_CI_D_minus_A_neuron_delta,-0.0015350877192982458,0.0,0.0
layerwise_ci_top_delta_steer,26,5,3.0,add_CI_D_minus_A_neuron_delta,-0.0004385964912280701,0.0,0.0
layerwise_ci_top_delta_steer,26,10,0.25,add_CI_D_minus_A_neuron_delta,-0.0021929824561403508,0.0,0.0
layerwise_ci_top_delta_steer,26,10,0.5,add_CI_D_minus_A_neuron_delta,-0.0017543859649122807,0.0,0.0
layerwise_ci_top_delta_steer,26,10,1.0,add_CI_D_minus_A_neuron_delta,-0.0017543859649122807,0.0,0.0
layerwise_ci_top_delta_steer,26,10,1.5,add_CI_D_minus_A_neuron_delta,-0.0017543859649122807,0.0,0.0
layerwise_ci_top_delta_steer,26,10,2.0,add_CI_D_minus_A_neuron_delta,-0.0010964912280701754,0.0,0.0
layerwise_ci_top_delta_steer,26,10,3.0,add_CI_D_minus_A_neuron_delta,-0.0021929824561403508,0.0,0.0
layerwise_ci_top_delta_steer,26,20,0.25,add_CI_D_minus_A_neuron_delta,-0.0013157894736842105,0.0,0.0
layerwise_ci_top_delta_steer,26,20,0.5,add_CI_D_minus_A_neuron_delta,-0.0012061403508771928,0.0,0.0
layerwise_ci_top_delta_steer,26,20,1.0,add_CI_D_minus_A_neuron_delta,-0.0003289473684210528,0.0,0.0
layerwise_ci_top_delta_steer,26,20,1.5,add_CI_D_minus_A_neuron_delta,0.0010964912280701754,0.0,0.0
