layer,head,writer_score,abs_writer_score,pre_delta_norm,contrib_gap_norm,n_pairs
18,15,0.8415992259979248,0.8415992259979248,2.354337215423584,2.3237721920013428,304
18,18,0.8017160892486572,0.8017160892486572,2.2038910388946533,2.3025753498077393,304
18,4,0.6870677471160889,0.6870677471160889,1.8560510873794556,2.1723833084106445,304
18,20,0.523739755153656,0.523739755153656,1.8933480978012085,1.7342710494995117,304
18,13,0.46332117915153503,0.46332117915153503,1.7408950328826904,1.8034082651138306,304
18,16,0.3467336893081665,0.3467336893081665,1.7498749494552612,1.4540596008300781,304
18,5,0.2792145311832428,0.2792145311832428,1.5568394660949707,1.5453897714614868,304
18,2,0.22953607141971588,0.22953607141971588,1.2198783159255981,1.2356066703796387,304
18,21,0.176798015832901,0.176798015832901,0.950792133808136,0.8549544215202332,304
18,9,0.08255532383918762,0.08255532383918762,0.40331533551216125,0.3856355845928192,304
18,8,0.07616403698921204,0.07616403698921204,1.0043423175811768,0.8269273042678833,304
18,27,0.06695371866226196,0.06695371866226196,0.6570791006088257,0.7098417282104492,304
18,10,0.06343710422515869,0.06343710422515869,1.078275203704834,1.0337144136428833,304
18,11,0.031252335757017136,0.031252335757017136,0.354037880897522,0.3638100326061249,304
18,24,0.029027771204710007,0.029027771204710007,0.6686287522315979,0.6028774976730347,304
18,1,0.0058304015547037125,0.0058304015547037125,0.12739238142967224,0.1335526704788208,304
18,23,-0.00015325844287872314,0.00015325844287872314,0.06825681775808334,0.1315540224313736,304
18,3,-0.0009868784109130502,0.0009868784109130502,0.04924918711185455,0.04783957079052925,304
18,22,-0.004701230674982071,0.004701230674982071,0.31220006942749023,0.333144873380661,304
18,14,-0.011116541922092438,0.011116541922092438,0.9932618737220764,0.8095704317092896,304
18,12,-0.01209849864244461,0.01209849864244461,0.4212697148323059,0.46300238370895386,304
18,26,-0.022374503314495087,0.022374503314495087,0.47241470217704773,0.46245452761650085,304
18,25,-0.025251448154449463,0.025251448154449463,0.6849101185798645,0.5292094349861145,304
18,6,-0.02712901309132576,0.02712901309132576,0.26177600026130676,0.2335505187511444,304
18,0,-0.02748827636241913,0.02748827636241913,0.4706205427646637,0.44605982303619385,304
18,19,-0.08077844977378845,0.08077844977378845,0.48498812317848206,0.5911123752593994,304
18,7,-0.093285471200943,0.093285471200943,0.8149775862693787,0.6931424736976624,304
18,17,-0.11859311163425446,0.11859311163425446,0.6545313596725464,0.6151809692382812,304
