layer,neuron,writer_score,selection_name,control_type,k,random_id
22,18761,0.072183326,L22_top100,ci_top_neurons,100,-1
22,12292,0.07143765,L22_top100,ci_top_neurons,100,-1
22,13712,0.07135805,L22_top100,ci_top_neurons,100,-1
22,2411,0.07081987,L22_top100,ci_top_neurons,100,-1
22,16950,0.069963485,L22_top100,ci_top_neurons,100,-1
22,15239,0.06981513,L22_top100,ci_top_neurons,100,-1
22,1375,0.06557493,L22_top100,ci_top_neurons,100,-1
22,3820,0.06548354,L22_top100,ci_top_neurons,100,-1
22,4713,0.0649729,L22_top100,ci_top_neurons,100,-1
22,1095,0.06471409,L22_top100,ci_top_neurons,100,-1
22,8447,0.06420948,L22_top100,ci_top_neurons,100,-1
22,16588,0.06262828,L22_top100,ci_top_neurons,100,-1
22,815,0.062023345,L22_top100,ci_top_neurons,100,-1
22,2389,0.061663575,L22_top100,ci_top_neurons,100,-1
22,10926,0.05954915,L22_top100,ci_top_neurons,100,-1
22,11251,0.058948398,L22_top100,ci_top_neurons,100,-1
22,13,0.058469668,L22_top100,ci_top_neurons,100,-1
22,10967,0.05789255,L22_top100,ci_top_neurons,100,-1
22,1367,0.05633754,L22_top100,ci_top_neurons,100,-1
22,1624,0.05620041,L22_top100,ci_top_neurons,100,-1
22,300,0.0553799,L22_top100,ci_top_neurons,100,-1
22,2459,0.0552019,L22_top100,ci_top_neurons,100,-1
22,16512,0.051250253,L22_top100,ci_top_neurons,100,-1
22,9862,0.051077556,L22_top100,ci_top_neurons,100,-1
22,13385,0.049876682,L22_top100,ci_top_neurons,100,-1
22,18356,0.049144898,L22_top100,ci_top_neurons,100,-1
22,12962,0.048654545,L22_top100,ci_top_neurons,100,-1
22,9853,0.048553687,L22_top100,ci_top_neurons,100,-1
22,16517,0.048186623,L22_top100,ci_top_neurons,100,-1
22,1232,0.046637952,L22_top100,ci_top_neurons,100,-1
22,14009,0.04658119,L22_top100,ci_top_neurons,100,-1
22,18629,0.04359931,L22_top100,ci_top_neurons,100,-1
22,2577,0.04242808,L22_top100,ci_top_neurons,100,-1
22,7590,0.04217398,L22_top100,ci_top_neurons,100,-1
22,13381,0.040842228,L22_top100,ci_top_neurons,100,-1
22,7723,0.04077647,L22_top100,ci_top_neurons,100,-1
22,11959,0.040593326,L22_top100,ci_top_neurons,100,-1
22,17854,0.0398139,L22_top100,ci_top_neurons,100,-1
22,1457,0.03962505,L22_top100,ci_top_neurons,100,-1
22,18391,0.03958218,L22_top100,ci_top_neurons,100,-1
22,582,0.039278984,L22_top100,ci_top_neurons,100,-1
22,15267,0.038450208,L22_top100,ci_top_neurons,100,-1
22,10691,0.038365595,L22_top100,ci_top_neurons,100,-1
22,14480,0.03806718,L22_top100,ci_top_neurons,100,-1
22,7748,0.038061146,L22_top100,ci_top_neurons,100,-1
22,11210,0.037895467,L22_top100,ci_top_neurons,100,-1
22,17369,0.037272073,L22_top100,ci_top_neurons,100,-1
22,56,0.03673678,L22_top100,ci_top_neurons,100,-1
22,15410,0.0363992,L22_top100,ci_top_neurons,100,-1
22,414,0.036316313,L22_top100,ci_top_neurons,100,-1
22,11844,0.036111154,L22_top100,ci_top_neurons,100,-1
22,1692,0.035960555,L22_top100,ci_top_neurons,100,-1
22,3944,0.035764705,L22_top100,ci_top_neurons,100,-1
22,6177,0.035340425,L22_top100,ci_top_neurons,100,-1
22,16042,0.03531335,L22_top100,ci_top_neurons,100,-1
22,17892,0.034685824,L22_top100,ci_top_neurons,100,-1
22,7529,0.034069117,L22_top100,ci_top_neurons,100,-1
22,1103,0.03406824,L22_top100,ci_top_neurons,100,-1
22,8177,0.033953868,L22_top100,ci_top_neurons,100,-1
22,12263,0.03320539,L22_top100,ci_top_neurons,100,-1
22,9586,0.032341212,L22_top100,ci_top_neurons,100,-1
22,17803,0.022122197,L22_random_top50_r0,random_neurons,50,0
22,18134,0.017096272,L22_random_top50_r0,random_neurons,50,0
22,8426,0.013394328,L22_random_top50_r0,random_neurons,50,0
22,5486,0.00840163,L22_random_top50_r0,random_neurons,50,0
22,9266,0.0067625716,L22_random_top50_r0,random_neurons,50,0
22,16923,0.0055660163,L22_random_top50_r0,random_neurons,50,0
22,18344,0.0049683587,L22_random_top50_r0,random_neurons,50,0
22,7940,0.0043450096,L22_random_top50_r0,random_neurons,50,0
22,1780,0.0026669651,L22_random_top50_r0,random_neurons,50,0
22,10302,0.0025178534,L22_random_top50_r0,random_neurons,50,0
22,4663,0.0022889408,L22_random_top50_r0,random_neurons,50,0
22,16427,0.0016483028,L22_random_top50_r0,random_neurons,50,0
22,16214,0.0011343912,L22_random_top50_r0,random_neurons,50,0
22,6003,0.0011256622,L22_random_top50_r0,random_neurons,50,0
22,2602,0.00062175345,L22_random_top50_r0,random_neurons,50,0
22,3452,0.0005687001,L22_random_top50_r0,random_neurons,50,0
22,5674,0.00053231255,L22_random_top50_r0,random_neurons,50,0
22,12552,0.00043386352,L22_random_top50_r0,random_neurons,50,0
22,7778,0.00040739035,L22_random_top50_r0,random_neurons,50,0
22,2164,0.00017690964,L22_random_top50_r0,random_neurons,50,0
22,10181,0.00015811845,L22_random_top50_r0,random_neurons,50,0
22,9620,0.00011998267,L22_random_top50_r0,random_neurons,50,0
22,6674,2.8873477e-05,L22_random_top50_r0,random_neurons,50,0
22,17499,8.237366e-06,L22_random_top50_r0,random_neurons,50,0
22,1628,2.3800542e-06,L22_random_top50_r0,random_neurons,50,0
22,7320,-9.262703e-06,L22_random_top50_r0,random_neurons,50,0
22,10932,-2.4422447e-05,L22_random_top50_r0,random_neurons,50,0
22,15137,-2.5949765e-05,L22_random_top50_r0,random_neurons,50,0
22,16608,-3.8787257e-05,L22_random_top50_r0,random_neurons,50,0
22,7806,-4.5749322e-05,L22_random_top50_r0,random_neurons,50,0
22,8395,-0.000116728945,L22_random_top50_r0,random_neurons,50,0
22,15028,-0.00013657412,L22_random_top50_r0,random_neurons,50,0
22,12532,-0.00017232524,L22_random_top50_r0,random_neurons,50,0
22,12163,-0.00018226539,L22_random_top50_r0,random_neurons,50,0
22,9,-0.00021057387,L22_random_top50_r0,random_neurons,50,0
22,2570,-0.00021211729,L22_random_top50_r0,random_neurons,50,0
22,4269,-0.0002671,L22_random_top50_r0,random_neurons,50,0
22,584,-0.00026894134,L22_random_top50_r0,random_neurons,50,0
22,13675,-0.00044900196,L22_random_top50_r0,random_neurons,50,0
22,3709,-0.0004527458,L22_random_top50_r0,random_neurons,50,0
22,18076,-0.0005955715,L22_random_top50_r0,random_neurons,50,0
22,8623,-0.0008379553,L22_random_top50_r0,random_neurons,50,0
22,7012,-0.000854995,L22_random_top50_r0,random_neurons,50,0
22,6437,-0.0010906479,L22_random_top50_r0,random_neurons,50,0
22,14190,-0.0011146935,L22_random_top50_r0,random_neurons,50,0
22,7108,-0.0011892306,L22_random_top50_r0,random_neurons,50,0
22,14449,-0.001245513,L22_random_top50_r0,random_neurons,50,0
22,12270,-0.0018678068,L22_random_top50_r0,random_neurons,50,0
22,11580,-0.002331215,L22_random_top50_r0,random_neurons,50,0
22,15822,-0.003658203,L22_random_top50_r0,random_neurons,50,0
22,18274,0.008956309,L22_random_top100_r0,random_neurons,100,0
22,13959,0.008433875,L22_random_top100_r0,random_neurons,100,0
22,18942,0.0038195115,L22_random_top100_r0,random_neurons,100,0
22,2461,0.0037368194,L22_random_top100_r0,random_neurons,100,0
22,6974,0.003589411,L22_random_top100_r0,random_neurons,100,0
22,14539,0.003259534,L22_random_top100_r0,random_neurons,100,0
22,18354,0.0025848167,L22_random_top100_r0,random_neurons,100,0
22,16136,0.0025517833,L22_random_top100_r0,random_neurons,100,0
22,17627,0.0024636022,L22_random_top100_r0,random_neurons,100,0
22,558,0.0022658678,L22_random_top100_r0,random_neurons,100,0
22,18169,0.0019440298,L22_random_top100_r0,random_neurons,100,0
22,12351,0.0017794396,L22_random_top100_r0,random_neurons,100,0
22,13912,0.00172268,L22_random_top100_r0,random_neurons,100,0
22,14350,0.0015647081,L22_random_top100_r0,random_neurons,100,0
22,6361,0.0013828684,L22_random_top100_r0,random_neurons,100,0
22,10812,0.0013710962,L22_random_top100_r0,random_neurons,100,0
22,4361,0.0010531215,L22_random_top100_r0,random_neurons,100,0
22,14583,0.0009753416,L22_random_top100_r0,random_neurons,100,0
22,198,0.0009581277,L22_random_top100_r0,random_neurons,100,0
22,11687,0.0009512078,L22_random_top100_r0,random_neurons,100,0
22,16855,0.0007604963,L22_random_top100_r0,random_neurons,100,0
22,13885,0.00075950153,L22_random_top100_r0,random_neurons,100,0
22,17860,0.0007117672,L22_random_top100_r0,random_neurons,100,0
22,2106,0.0005095042,L22_random_top100_r0,random_neurons,100,0
22,4469,0.00044198136,L22_random_top100_r0,random_neurons,100,0
22,17407,0.00037935542,L22_random_top100_r0,random_neurons,100,0
22,11255,0.0003226252,L22_random_top100_r0,random_neurons,100,0
22,10343,0.00028587025,L22_random_top100_r0,random_neurons,100,0
22,8180,0.00025618973,L22_random_top100_r0,random_neurons,100,0
22,15194,0.00024555385,L22_random_top100_r0,random_neurons,100,0
22,2745,0.0002372833,L22_random_top100_r0,random_neurons,100,0
22,5387,0.00019631366,L22_random_top100_r0,random_neurons,100,0
22,13428,0.0001667428,L22_random_top100_r0,random_neurons,100,0
22,5642,0.000158278,L22_random_top100_r0,random_neurons,100,0
22,473,0.00015108124,L22_random_top100_r0,random_neurons,100,0
22,1526,0.00014606188,L22_random_top100_r0,random_neurons,100,0
22,6202,0.0001343511,L22_random_top100_r0,random_neurons,100,0
22,11195,0.00012505667,L22_random_top100_r0,random_neurons,100,0
22,8532,0.00011632631,L22_random_top100_r0,random_neurons,100,0
