model,model_short,patch_family,experiment,layer,n,mean_patch_effect,median_patch_effect,mean_aligned_effect,median_aligned_effect,mean_abs_effect,flip_rate
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,2,85,-11.874816176470588,-12.28125,11.874816176470588,12.28125,11.874816176470588,0.047058823529411764
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,3,85,-11.871875,-12.25,11.871875,12.25,11.871875,0.07058823529411765
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,4,85,-11.85091911764706,-12.21875,11.85091911764706,12.21875,11.85091911764706,0.08235294117647059
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,5,85,-11.835110294117648,-12.265625,11.835110294117648,12.265625,11.835110294117648,0.08235294117647059
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,6,85,-11.673713235294118,-12.390625,11.673713235294118,12.390625,11.673713235294118,0.09411764705882353
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,7,85,-10.960661764705883,-11.125,10.960661764705883,11.125,10.960661764705883,0.08235294117647059
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,8,85,-10.870588235294118,-10.90625,10.870588235294118,10.90625,10.870588235294118,0.08235294117647059
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,9,85,-10.025919117647058,-10.0,10.025919117647058,10.0,10.025919117647058,0.058823529411764705
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,10,85,-9.141176470588235,-8.78125,9.141176470588235,8.78125,9.141176470588235,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,11,85,-8.015992647058823,-7.625,8.015992647058823,7.625,8.015992647058823,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,12,85,-6.458272058823529,-6.5,6.458272058823529,6.5,6.458272058823529,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,13,85,-4.588419117647059,-4.453125,4.588419117647059,4.453125,4.600183823529412,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,14,85,-3.243933823529412,-3.125,3.243933823529412,3.125,3.309375,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,15,85,-1.9591911764705883,-1.953125,1.9591911764705883,1.953125,1.9922794117647058,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,16,85,-1.2746323529411765,-1.21875,1.2746323529411765,1.21875,1.2790441176470588,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,17,85,-0.7045955882352941,-0.65625,0.7045955882352941,0.65625,0.7251838235294118,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,18,85,-0.075,-0.078125,0.075,0.078125,0.1036764705882353,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,19,85,-0.03290441176470588,-0.03125,0.03290441176470588,0.03125,0.06194852941176471,0.0
