level,selection_name,control_type,layer,k,alpha,random_id,n,normal_no_count,normal_margin_mean,patched_margin_mean,delta_toward_yes_mean,patched_yes_count,patched_yes_rate,no_to_yes_flips,no_to_yes_flip_rate
seed,L22_random_top100_r0,random_neurons,22,100,1.0,0,481.0,481.0,-24.188507016632016,-24.188571985446984,-6.496881496881497e-05,0.0,0.0,0.0,0.0
seed,L22_random_top100_r0,random_neurons,22,100,2.0,0,481.0,481.0,-24.188507016632016,-24.188474532224532,3.2484407484407486e-05,0.0,0.0,0.0,0.0
seed,L22_random_top100_r0,random_neurons,22,100,4.0,0,481.0,481.0,-24.188507016632016,-24.188571985446984,-6.496881496881497e-05,0.0,0.0,0.0,0.0
seed,L22_random_top100_r0,random_neurons,22,100,6.0,0,481.0,481.0,-24.188507016632016,-24.187857328482327,0.0006496881496881497,0.0,0.0,0.0,0.0
seed,L22_random_top200_r0,random_neurons,22,200,1.0,0,481.0,481.0,-24.188507016632016,-24.187402546777548,0.0011044698544698545,0.0,0.0,0.0,0.0
seed,L22_random_top200_r0,random_neurons,22,200,2.0,0,481.0,481.0,-24.188507016632016,-24.185615904365903,0.0028911122661122663,0.0,0.0,0.0,0.0
seed,L22_random_top200_r0,random_neurons,22,200,4.0,0,481.0,481.0,-24.188507016632016,-24.181847713097714,0.006659303534303535,0.0,0.0,0.0,0.0
seed,L22_random_top200_r0,random_neurons,22,200,6.0,0,481.0,481.0,-24.188507016632016,-24.17762474012474,0.010882276507276507,0.0,0.0,0.0,0.0
seed,L22_random_top500_r0,random_neurons,22,500,1.0,0,481.0,481.0,-24.188507016632016,-24.188507016632016,0.0,0.0,0.0,0.0,0.0
seed,L22_random_top500_r0,random_neurons,22,500,2.0,0,481.0,481.0,-24.188507016632016,-24.188507016632016,0.0,0.0,0.0,0.0,0.0
seed,L22_random_top500_r0,random_neurons,22,500,4.0,0,481.0,481.0,-24.188507016632016,-24.188507016632016,0.0,0.0,0.0,0.0,0.0
seed,L22_random_top500_r0,random_neurons,22,500,6.0,0,481.0,481.0,-24.188507016632016,-24.188507016632016,0.0,0.0,0.0,0.0,0.0
seed,L22_random_top50_r0,random_neurons,22,50,1.0,0,481.0,481.0,-24.188507016632016,-24.188507016632016,0.0,0.0,0.0,0.0,0.0
seed,L22_random_top50_r0,random_neurons,22,50,2.0,0,481.0,481.0,-24.188507016632016,-24.188507016632016,0.0,0.0,0.0,0.0,0.0
seed,L22_random_top50_r0,random_neurons,22,50,4.0,0,481.0,481.0,-24.188507016632016,-24.188507016632016,0.0,0.0,0.0,0.0,0.0
seed,L22_random_top50_r0,random_neurons,22,50,6.0,0,481.0,481.0,-24.188507016632016,-24.188507016632016,0.0,0.0,0.0,0.0,0.0
seed,L22_top100,ci_top_neurons,22,100,1.0,-1,481.0,481.0,-24.188507016632016,-21.45289760914761,2.7356094074844073,3.0,0.006237006237006237,3.0,0.006237006237006237
seed,L22_top100,ci_top_neurons,22,100,2.0,-1,481.0,481.0,-24.188507016632016,-16.621264293139294,7.567242723492724,5.0,0.010395010395010396,5.0,0.010395010395010396
seed,L22_top100,ci_top_neurons,22,100,4.0,-1,481.0,481.0,-24.188507016632016,-0.5643840956340956,23.62412292099792,150.0,0.31185031185031187,150.0,0.31185031185031187
seed,L22_top100,ci_top_neurons,22,100,6.0,-1,481.0,481.0,-24.188507016632016,17.54430873180873,41.73281574844075,481.0,1.0,481.0,1.0
seed,L22_top200,ci_top_neurons,22,200,1.0,-1,481.0,481.0,-24.188507016632016,-21.528034043659044,2.660472972972973,3.0,0.006237006237006237,3.0,0.006237006237006237
seed,L22_top200,ci_top_neurons,22,200,2.0,-1,481.0,481.0,-24.188507016632016,-16.876494282744282,7.312012733887734,3.0,0.006237006237006237,3.0,0.006237006237006237
seed,L22_top200,ci_top_neurons,22,200,4.0,-1,481.0,481.0,-24.188507016632016,-1.3010005197505197,22.887506496881496,90.0,0.18711018711018712,90.0,0.18711018711018712
seed,L22_top200,ci_top_neurons,22,200,6.0,-1,481.0,481.0,-24.188507016632016,16.579619282744282,40.7681262993763,481.0,1.0,481.0,1.0
seed,L22_top50,ci_top_neurons,22,50,1.0,-1,481.0,481.0,-24.188507016632016,-21.533653846153847,2.6548531704781704,3.0,0.006237006237006237,3.0,0.006237006237006237
seed,L22_top50,ci_top_neurons,22,50,2.0,-1,481.0,481.0,-24.188507016632016,-16.882861226611226,7.30564579002079,4.0,0.008316008316008316,4.0,0.008316008316008316
seed,L22_top50,ci_top_neurons,22,50,4.0,-1,481.0,481.0,-24.188507016632016,-1.3045088357588357,22.88399818087318,88.0,0.18295218295218296,88.0,0.18295218295218296
seed,L22_top50,ci_top_neurons,22,50,6.0,-1,481.0,481.0,-24.188507016632016,16.536155145530145,40.72466216216216,481.0,1.0,481.0,1.0
seed,L22_top500,ci_top_neurons,22,500,1.0,-1,481.0,481.0,-24.188507016632016,-21.699909043659044,2.488597972972973,2.0,0.004158004158004158,2.0,0.004158004158004158
seed,L22_top500,ci_top_neurons,22,500,2.0,-1,481.0,481.0,-24.188507016632016,-17.503638253638254,6.684868762993763,3.0,0.006237006237006237,3.0,0.006237006237006237
seed,L22_top500,ci_top_neurons,22,500,4.0,-1,481.0,481.0,-24.188507016632016,-3.2147219334719335,20.973785083160084,41.0,0.08523908523908524,41.0,0.08523908523908524
seed,L22_top500,ci_top_neurons,22,500,6.0,-1,481.0,481.0,-24.188507016632016,13.942632536382536,38.131139553014556,481.0,1.0,481.0,1.0
