selection_name,control_type,layers,heads,k,total_heads,random_id,patch_mode,alpha,target_layer,target_neuron,n,normal_no_count,normal_yes_count,patched_yes_count,patched_no_count,success_flips,success_flip_rate,no_to_yes_flips,yes_to_no_flips,normal_margin_mean,patched_margin_mean,delta_margin_mean,A_mean_pair_act,D_mean_pair_act,D_minus_A_pair_act,normal_mlp_act_mean,patched_mlp_act_mean,mlp_act_delta_mean,delta_toward_target_decision_mean,act_shift_toward_target_mean,act_shift_toward_target_rate,act_shift_toward_A_mean,act_shift_toward_A_rate,act_dist_to_target_before_mean,act_dist_to_target_after_mean,act_dist_to_A_before_mean,act_dist_to_A_after_mean,act_dist_reduction_mean,corr_delta_margin_with_act_shift_toward_A,corr_delta_target_with_act_shift_toward_target,corr_success_with_act_shift_toward_target,corr_delta_target_with_dist_reduction,corr_flip_with_act_shift_toward_A,corr_delta_margin_with_dist_reduction
L18_random5_per_layer_r0,random_heads,18,L18H9;L18H10;L18H1;L18H3;L18H6,5,5,0,mean_patch,1.0,22,13149,1,1,0,0,1,0,0.0,0,0,-15.59375,-14.78125,0.8125,13.517867238898026,-4.029554116098504,-17.54742135499653,-20.96875,-19.625,1.34375,0.8125,1.34375,1.0,1.34375,1.0,34.48661723889803,33.14286723889803,34.48661723889803,33.14286723889803,1.34375,,,,,,
L18_top5_per_layer,top_heads,18,L18H15;L18H18;L18H4;L18H13;L18H20,5,5,-1,mean_patch,1.0,22,13149,1,1,0,1,0,1,1.0,1,0,-15.59375,3.0,18.59375,13.517867238898026,-4.029554116098504,-17.54742135499653,-20.96875,1.6220703125,22.5908203125,18.59375,22.5908203125,1.0,22.5908203125,1.0,34.48661723889803,11.895796926398026,34.48661723889803,11.895796926398026,22.5908203125,,,,,,
