selection_name,layer,k,alpha,delta_source,intervention,random_delta_toward_no_mean,random_yes_to_no_flip_rate_mean,random_patched_no_rate_mean
layerwise_top_delta_steer,22,100,1.0,base,add_source_D_minus_A_neuron_delta_to_base,-0.020723684210526314,0.0,0.0
layerwise_top_delta_steer,22,100,1.0,ci,add_source_D_minus_A_neuron_delta_to_base,0.023464912280701758,0.010526315789473684,0.010526315789473684
layerwise_top_delta_steer,22,200,0.25,base,add_source_D_minus_A_neuron_delta_to_base,-0.007346491228070175,0.0,0.0
layerwise_top_delta_steer,22,200,0.25,ci,add_source_D_minus_A_neuron_delta_to_base,-0.0030701754385964904,0.0,0.0
layerwise_top_delta_steer,22,200,0.5,base,add_source_D_minus_A_neuron_delta_to_base,-0.012171052631578949,0.0,0.0
layerwise_top_delta_steer,22,200,0.5,ci,add_source_D_minus_A_neuron_delta_to_base,-0.0004385964912280692,0.0,0.0
layerwise_top_delta_steer,22,200,1.0,base,add_source_D_minus_A_neuron_delta_to_base,-0.02324561403508772,0.0035087719298245615,0.0035087719298245615
layerwise_top_delta_steer,22,200,1.0,ci,add_source_D_minus_A_neuron_delta_to_base,0.0015350877192982458,0.010526315789473684,0.010526315789473684
layerwise_top_delta_steer,23,50,0.25,base,add_source_D_minus_A_neuron_delta_to_base,-0.0029605263157894738,0.0,0.0
layerwise_top_delta_steer,23,50,0.25,ci,add_source_D_minus_A_neuron_delta_to_base,-0.003947368421052632,0.0,0.0
layerwise_top_delta_steer,23,50,0.5,base,add_source_D_minus_A_neuron_delta_to_base,-0.004166666666666667,0.0,0.0
layerwise_top_delta_steer,23,50,0.5,ci,add_source_D_minus_A_neuron_delta_to_base,-0.005482456140350877,0.0,0.0
layerwise_top_delta_steer,23,50,1.0,base,add_source_D_minus_A_neuron_delta_to_base,-0.004605263157894736,0.0,0.0
layerwise_top_delta_steer,23,50,1.0,ci,add_source_D_minus_A_neuron_delta_to_base,-0.006140350877192982,0.0,0.0
layerwise_top_delta_steer,23,100,0.25,base,add_source_D_minus_A_neuron_delta_to_base,-0.0036184210526315785,0.0,0.0
layerwise_top_delta_steer,23,100,0.25,ci,add_source_D_minus_A_neuron_delta_to_base,0.0001096491228070176,0.0,0.0
layerwise_top_delta_steer,23,100,0.5,base,add_source_D_minus_A_neuron_delta_to_base,-0.0043859649122807015,0.0,0.0
layerwise_top_delta_steer,23,100,0.5,ci,add_source_D_minus_A_neuron_delta_to_base,0.004057017543859649,0.0,0.0
layerwise_top_delta_steer,23,100,1.0,base,add_source_D_minus_A_neuron_delta_to_base,-0.0060307017543859654,0.0,0.0
layerwise_top_delta_steer,23,100,1.0,ci,add_source_D_minus_A_neuron_delta_to_base,0.011074561403508773,0.0,0.0
layerwise_top_delta_steer,23,200,0.25,base,add_source_D_minus_A_neuron_delta_to_base,-0.0029605263157894738,0.0,0.0
layerwise_top_delta_steer,23,200,0.25,ci,add_source_D_minus_A_neuron_delta_to_base,0.0031798245614035087,0.0,0.0
layerwise_top_delta_steer,23,200,0.5,base,add_source_D_minus_A_neuron_delta_to_base,-0.0019736842105263163,0.0,0.0
layerwise_top_delta_steer,23,200,0.5,ci,add_source_D_minus_A_neuron_delta_to_base,0.007236842105263159,0.0,0.0
layerwise_top_delta_steer,23,200,1.0,base,add_source_D_minus_A_neuron_delta_to_base,0.001425438596491228,0.0035087719298245615,0.0035087719298245615
layerwise_top_delta_steer,23,200,1.0,ci,add_source_D_minus_A_neuron_delta_to_base,0.01600877192982456,0.0035087719298245615,0.0035087719298245615
layerwise_top_delta_steer,26,50,0.25,base,add_source_D_minus_A_neuron_delta_to_base,-0.00493421052631579,0.0,0.0
layerwise_top_delta_steer,26,50,0.25,ci,add_source_D_minus_A_neuron_delta_to_base,-0.0021929824561403508,0.0,0.0
layerwise_top_delta_steer,26,50,0.5,base,add_source_D_minus_A_neuron_delta_to_base,-0.010416666666666666,0.0,0.0
layerwise_top_delta_steer,26,50,0.5,ci,add_source_D_minus_A_neuron_delta_to_base,-0.0020833333333333333,0.0,0.0
layerwise_top_delta_steer,26,50,1.0,base,add_source_D_minus_A_neuron_delta_to_base,-0.017434210526315788,0.0,0.0
layerwise_top_delta_steer,26,50,1.0,ci,add_source_D_minus_A_neuron_delta_to_base,-0.00021929824561403512,0.0,0.0
layerwise_top_delta_steer,26,100,0.25,base,add_source_D_minus_A_neuron_delta_to_base,-0.0014254385964912282,0.0,0.0
layerwise_top_delta_steer,26,100,0.25,ci,add_source_D_minus_A_neuron_delta_to_base,-0.002412280701754386,0.0,0.0
layerwise_top_delta_steer,26,100,0.5,base,add_source_D_minus_A_neuron_delta_to_base,-0.0021929824561403508,0.0,0.0
layerwise_top_delta_steer,26,100,0.5,ci,add_source_D_minus_A_neuron_delta_to_base,-0.0005482456140350877,0.0,0.0
layerwise_top_delta_steer,26,100,1.0,base,add_source_D_minus_A_neuron_delta_to_base,0.0012061403508771926,0.0,0.0
layerwise_top_delta_steer,26,100,1.0,ci,add_source_D_minus_A_neuron_delta_to_base,0.0004385964912280701,0.0,0.0
layerwise_top_delta_steer,26,200,0.25,base,add_source_D_minus_A_neuron_delta_to_base,-0.0007675438596491226,0.0,0.0
layerwise_top_delta_steer,26,200,0.25,ci,add_source_D_minus_A_neuron_delta_to_base,-0.002521929824561403,0.0,0.0
layerwise_top_delta_steer,26,200,0.5,base,add_source_D_minus_A_neuron_delta_to_base,0.002412280701754386,0.0,0.0
layerwise_top_delta_steer,26,200,0.5,ci,add_source_D_minus_A_neuron_delta_to_base,-0.006798245614035087,0.0,0.0
layerwise_top_delta_steer,26,200,1.0,base,add_source_D_minus_A_neuron_delta_to_base,0.007894736842105265,0.0035087719298245615,0.0035087719298245615
layerwise_top_delta_steer,26,200,1.0,ci,add_source_D_minus_A_neuron_delta_to_base,-0.008771929824561403,0.0,0.0
layerwise_top_delta_steer,27,50,0.25,base,add_source_D_minus_A_neuron_delta_to_base,-0.004824561403508772,0.0,0.0
layerwise_top_delta_steer,27,50,0.25,ci,add_source_D_minus_A_neuron_delta_to_base,-0.0015350877192982454,0.0,0.0
layerwise_top_delta_steer,27,50,0.5,base,add_source_D_minus_A_neuron_delta_to_base,-0.007894736842105263,0.0,0.0
layerwise_top_delta_steer,27,50,0.5,ci,add_source_D_minus_A_neuron_delta_to_base,-0.000657894736842105,0.0,0.0
layerwise_top_delta_steer,27,50,1.0,base,add_source_D_minus_A_neuron_delta_to_base,-0.010416666666666666,0.0,0.0
layerwise_top_delta_steer,27,50,1.0,ci,add_source_D_minus_A_neuron_delta_to_base,-0.0003289473684210519,0.0,0.0
layerwise_top_delta_steer,27,100,0.25,base,add_source_D_minus_A_neuron_delta_to_base,0.0015350877192982454,0.0,0.0
layerwise_top_delta_steer,27,100,0.25,ci,add_source_D_minus_A_neuron_delta_to_base,0.0017543859649122807,0.0,0.0
layerwise_top_delta_steer,27,100,0.5,base,add_source_D_minus_A_neuron_delta_to_base,0.004824561403508772,0.0,0.0
layerwise_top_delta_steer,27,100,0.5,ci,add_source_D_minus_A_neuron_delta_to_base,0.004605263157894736,0.0035087719298245615,0.0035087719298245615
layerwise_top_delta_steer,27,100,1.0,base,add_source_D_minus_A_neuron_delta_to_base,0.01074561403508772,0.007017543859649123,0.007017543859649123
layerwise_top_delta_steer,27,100,1.0,ci,add_source_D_minus_A_neuron_delta_to_base,0.010526315789473684,0.0035087719298245615,0.0035087719298245615
layerwise_top_delta_steer,27,200,0.25,base,add_source_D_minus_A_neuron_delta_to_base,0.007017543859649124,0.0,0.0
layerwise_top_delta_steer,27,200,0.25,ci,add_source_D_minus_A_neuron_delta_to_base,0.012499999999999999,0.0,0.0
layerwise_top_delta_steer,27,200,0.5,base,add_source_D_minus_A_neuron_delta_to_base,0.016666666666666666,0.0,0.0
layerwise_top_delta_steer,27,200,0.5,ci,add_source_D_minus_A_neuron_delta_to_base,0.027302631578947367,0.0035087719298245615,0.0035087719298245615
layerwise_top_delta_steer,27,200,1.0,base,add_source_D_minus_A_neuron_delta_to_base,0.03574561403508771,0.017543859649122806,0.017543859649122806
layerwise_top_delta_steer,27,200,1.0,ci,add_source_D_minus_A_neuron_delta_to_base,0.05570175438596492,0.017543859649122806,0.017543859649122806
