selection_name,layer,k,alpha,control_type,selection_source,delta_source,intervention,n,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,delta_toward_no_median,yes_to_no_flips,yes_to_no_flip_rate,patched_no_count,patched_no_rate,normal_yes_rate,num_layers_patched,num_neurons_patched
layerwise_top_delta_steer,22,50,1.0,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-1.4274671052631578,2.1925986842105263,2.15625,93,0.9789473684210527,93,0.9789473684210527,1.0,1,50
layerwise_top_delta_steer,23,50,1.0,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-1.4317434210526316,2.196875,2.1875,92,0.968421052631579,92,0.968421052631579,1.0,1,50
global_multilayer_top_delta_steer,multi,50,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-1.3932565789473683,2.158388157894737,2.15625,92,0.968421052631579,92,0.968421052631579,1.0,5,50
layerwise_top_delta_steer,23,200,1.0,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-1.2991776315789474,2.0643092105263157,2.03125,92,0.968421052631579,92,0.968421052631579,1.0,1,200
global_multilayer_top_delta_steer,multi,100,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-1.2442434210526316,2.009375,1.96875,92,0.968421052631579,92,0.968421052631579,1.0,5,100
global_multilayer_top_delta_steer,multi,200,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-1.2342105263157894,1.999342105263158,1.96875,92,0.968421052631579,92,0.968421052631579,1.0,5,200
layerwise_top_delta_steer,23,100,1.0,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-1.1171052631578948,1.882236842105263,1.875,92,0.968421052631579,92,0.968421052631579,1.0,1,100
layerwise_top_delta_steer,20,200,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-1.0917763157894738,1.856907894736842,1.8125,92,0.968421052631579,92,0.968421052631579,1.0,1,200
layerwise_top_delta_steer,20,100,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.9509868421052632,1.7161184210526317,1.65625,92,0.968421052631579,92,0.968421052631579,1.0,1,100
global_multilayer_top_delta_steer,multi,50,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.9078947368421053,1.6730263157894736,1.65625,92,0.968421052631579,92,0.968421052631579,1.0,5,50
