layer,neuron,A_act_mean,D_act_mean,act_gap_D_minus_A,downproj_dot_direction,writer_score,abs_writer_score,rank_positive,rank_abs,D_minus_A_delta,score_source,selection_name,k,layer_label,control_type,selection_source,delta_source,random_control_id
20,936,0.11951949,1.141671,1.0221515,0.100845665,0.10307954,0.10307954,35,36,1.02215151,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,4825,0.2649836,1.6086811,1.3436975,0.07497933,0.10074954,0.10074954,36,37,1.3436975000000002,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,10198,0.16627035,1.2572266,1.0909562,0.08937974,0.097509384,0.097509384,37,38,1.09095625,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,17791,-0.15930949,-1.5031302,-1.3438207,-0.06916443,0.09294459,0.09294459,38,40,-1.34382071,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,15889,-0.39231858,-1.4276367,-1.0353181,-0.08936346,0.09251961,0.09251961,39,41,-1.0353181200000001,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,7285,-0.7336644,0.03576381,0.7694282,0.11465982,0.0882225,0.0882225,40,43,0.76942821,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,9558,-0.14399414,1.6168997,1.7608938,0.048207078,0.08488755,0.08488755,41,44,1.76089384,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,10827,-0.15050639,-0.8986893,-0.74818295,-0.1085379,0.0812062,0.0812062,42,45,-0.74818291,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,14167,1.6759971,2.5276008,0.8516036,0.09177872,0.07815909,0.07815909,43,46,0.8516037000000001,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,7350,-0.17798541,0.19017908,0.36816448,0.21014248,0.07736699,0.07736699,44,47,0.36816449,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,6863,-1.5707185,0.23980656,1.8105251,0.041727383,0.07554847,0.07554847,45,48,1.8105250599999998,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,15901,1.3428428,0.09372057,-1.2491223,-0.05996037,0.07489783,0.07489783,46,49,-1.2491222299999998,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,12861,-0.38037464,0.00036035903,0.380735,0.1958808,0.07457868,0.07457868,47,50,0.38073499902999997,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,2041,1.62684,2.789638,1.162798,0.06406309,0.07449243,0.07449243,48,51,1.162798,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,15534,-0.4654949,0.7604155,1.2259104,0.060753632,0.074478514,0.074478514,49,52,1.2259104,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,13465,0.26617047,1.0159848,0.7498143,0.09379596,0.070329554,0.070329554,50,55,0.74981433,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,9377,-0.0689965,-0.16917083,-0.10017433,-0.031398315,0.0031453052,0.0031453052,1020,1531,-0.10017432999999999,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,16537,0.13502519,0.119052604,-0.015972584,0.013855166,-0.0002213028,0.0002213028,13265,12248,-0.015972585999999983,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,10055,0.067559354,0.17398682,0.10642747,0.022314284,0.0023748528,0.0023748528,1377,2175,0.10642746599999998,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,17374,0.3565661,0.4174702,0.060904086,-0.0049511297,-0.00030154403,0.00030154403,13902,10932,0.06090410000000002,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,15809,-0.030605879,-0.007679952,0.022925926,-0.016338337,-0.0003745715,0.0003745715,14355,9977,0.022925927,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,447,-0.11448975,-0.06381995,0.050669797,-0.009710744,-0.0004920414,0.0004920414,15035,8659,0.0506698,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,3839,-0.0068544387,0.03201005,0.038864486,0.026443724,0.0010277217,0.0010277217,2945,5141,0.0388644887,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,720,0.058878988,0.061099645,0.0022206567,-0.0126641635,-2.812276e-05,2.812276e-05,10685,17375,0.002220657000000001,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,1977,-0.2335899,-0.17916259,0.05442731,-0.0117121115,-0.00063745875,0.00063745875,15691,7345,0.05442730999999998,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,14919,0.00974581,0.10455579,0.09480998,-0.038049012,-0.003607426,0.003607426,18543,1283,0.09480997999999999,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,9549,-0.06962513,-0.039216585,0.030408546,0.022956682,0.00069807936,0.00069807936,3859,6899,0.030408544999999995,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,4297,-0.3440481,-0.4022461,-0.058197975,-0.022595704,0.0013150242,0.0013150242,2442,4139,-0.05819799999999997,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,9537,-0.1270505,-0.23973581,-0.11268531,-0.008406879,0.0009473318,0.0009473318,3126,5478,-0.11268530999999998,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,5801,-0.12688787,-0.13697085,-0.010082975,-0.013473101,0.00013584894,0.00013584894,7497,14061,-0.010082979999999991,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,11537,-0.040700693,-0.061080027,-0.020379335,0.020557377,-0.00041894568,0.00041894568,14630,9445,-0.020379334,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,2925,0.52936625,0.57634664,0.04698038,-0.0072035706,-0.0003384265,0.0003384265,14135,10435,0.04698038999999998,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,9131,-0.5958599,-0.35023385,0.24562603,0.0050382926,0.0012375358,0.0012375358,2549,4370,0.24562604999999998,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,712,0.28835064,0.22921336,-0.059137285,0.013387257,-0.00079168606,0.00079168606,16204,6275,-0.059137279999999987,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,14533,-0.24779503,-0.24539088,0.0024041533,-0.016372165,-3.9361195e-05,3.9361195e-05,10902,16927,0.002404149999999994,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,6848,0.021919612,-0.009591277,-0.03151089,-0.0022532973,7.10034e-05,7.10034e-05,8360,15833,-0.031510889,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,12734,-0.018443214,-0.035859093,-0.01741588,0.02603429,-0.00045341006,0.00045341006,14846,9029,-0.017415879000000002,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,11237,0.091418296,0.2024504,0.1110321,-0.02196647,-0.0024389834,0.0024389834,18174,2115,0.111032104,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,14617,0.22864798,-0.049738634,-0.27838662,0.03355765,-0.009342001,0.009342001,18859,423,-0.278386614,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,4162,0.16844033,0.20665684,0.038216516,-0.01690476,-0.00064604107,0.00064604107,15728,7271,0.03821651000000001,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,11251,-0.075486995,-0.083311565,-0.00782457,0.004877238,-3.8162292e-05,3.8162292e-05,10877,16966,-0.007824570000000003,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,411,-0.06434463,-0.07143266,-0.007088028,0.013886064,-9.842481e-05,9.842481e-05,11869,15037,-0.007088029999999995,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
