level,selection_name,control_type,layer,k,alpha,random_id,n,normal_no_count,normal_margin_mean,patched_margin_mean,delta_toward_yes_mean,no_to_yes_flips,no_to_yes_flip_rate
seed,L22_random_top100_r0,random_neurons,22,100,4.0,0,477.0,477.0,-23.57612683438155,-23.57367007337526,0.002456761006289308,0.0,0.0
seed,L22_random_top100_r0,random_neurons,22,100,6.0,0,477.0,477.0,-23.57612683438155,-23.572687368972748,0.0034394654088050316,0.0,0.0
seed,L22_random_top50_r0,random_neurons,22,50,4.0,0,477.0,477.0,-23.57612683438155,-23.57511137316562,0.001015461215932914,0.0,0.0
seed,L22_random_top50_r0,random_neurons,22,50,6.0,0,477.0,477.0,-23.57612683438155,-23.57389937106918,0.0022274633123689725,0.0,0.0
seed,L22_top100,ci_top_neurons,22,100,4.0,-1,477.0,477.0,-23.57612683438155,-0.3785377358490566,23.197589098532493,179.0,0.3752620545073375
seed,L22_top100,ci_top_neurons,22,100,6.0,-1,477.0,477.0,-23.57612683438155,17.410508385744233,40.986635220125784,477.0,1.0
seed,L22_top50,ci_top_neurons,22,50,4.0,-1,477.0,477.0,-23.57612683438155,-1.1987683438155137,22.37735849056604,94.0,0.1970649895178197
seed,L22_top50,ci_top_neurons,22,50,6.0,-1,477.0,477.0,-23.57612683438155,16.299626572327043,39.8757534067086,477.0,1.0
