pair_index,A_act,D_act,D_minus_A_act,A_margin,D_margin
204,14.8203125,-1.1923828125,-16.0126953125,13.15625,-0.125
205,15.5546875,-3.26171875,-18.81640625,15.28125,-0.5
206,8.1328125,-3.552734375,-11.685546875,7.0625,-0.8125
207,10.46875,-0.366943359375,-10.835693359375,8.65625,0.375
208,10.3125,-9.96875,-20.28125,8.40625,-4.421875
209,2.8046875,-6.484375,-9.2890625,3.46875,-2.3125
210,16.703125,-0.54248046875,-17.24560546875,16.484375,-0.28125
211,15.5546875,-2.173828125,-17.728515625,15.28125,-0.46875
212,12.203125,-1.9970703125,-14.2001953125,9.78125,-0.03125
213,8.1328125,-4.9375,-13.0703125,7.0625,-1.53125
214,8.140625,-5.421875,-13.5625,7.0,-1.78125
215,14.0078125,-3.21484375,-17.22265625,11.28125,-1.15625
216,8.1328125,-14.8515625,-22.984375,7.0625,-9.046875
217,16.4375,-2.33984375,-18.77734375,14.59375,-0.46875
218,2.8046875,-6.3203125,-9.125,3.46875,-2.4375
219,10.2578125,-2.212890625,-12.470703125,8.65625,-0.4375
220,11.8828125,-0.99658203125,-12.87939453125,9.6875,-0.125
221,12.203125,-14.0703125,-26.2734375,9.78125,-11.859375
222,12.203125,-5.46484375,-17.66796875,9.78125,-2.84375
223,15.828125,-2.0859375,-17.9140625,14.59375,-0.4375
224,10.2578125,-2.21484375,-12.47265625,8.65625,-0.75
225,15.6875,-4.07421875,-19.76171875,14.375,-0.9375
226,10.46875,-1.4814453125,-11.9501953125,8.65625,-0.09375
227,13.90625,-2.498046875,-16.404296875,11.25,-0.8125
228,15.859375,-3.095703125,-18.955078125,14.515625,-1.03125
229,15.0625,-13.90625,-28.96875,12.6875,-9.484375
230,10.03125,-20.953125,-30.984375,9.4375,-20.421875
231,15.21875,-5.44140625,-20.66015625,13.015625,-0.90625
232,16.09375,-10.59375,-26.6875,14.71875,-7.125
233,15.5859375,-25.984375,-41.5703125,14.140625,-20.109375
234,15.5859375,-19.015625,-34.6015625,14.140625,-17.28125
235,14.6328125,-21.90625,-36.5390625,14.25,-22.71875
236,15.328125,-4.46484375,-19.79296875,13.046875,-0.71875
237,14.6328125,-10.3828125,-25.015625,14.25,-6.203125
238,14.5546875,-6.65234375,-21.20703125,14.125,-3.125
239,15.0625,-18.765625,-33.828125,12.6875,-11.3125
240,4.82421875,-9.390625,-14.21484375,3.5,-4.40625
241,13.34375,-16.78125,-30.125,10.71875,-15.546875
242,10.3125,-5.51171875,-15.82421875,10.0,-1.0
243,14.5546875,-11.6796875,-26.234375,14.125,-6.9375
244,14.5546875,-6.70703125,-21.26171875,14.125,-2.28125
245,17.078125,-15.1015625,-32.1796875,17.421875,-11.078125
246,10.96875,-4.28515625,-15.25390625,8.0,-1.46875
247,13.34375,-7.72265625,-21.06640625,10.71875,-3.125
248,13.1640625,-3.84765625,-17.01171875,10.09375,-0.21875
249,10.96875,-19.234375,-30.203125,8.0,-17.1875
250,17.078125,-3.056640625,-20.134765625,17.421875,-0.71875
251,10.96875,-11.484375,-22.453125,8.0,-7.125
252,17.125,-3.537109375,-20.662109375,16.890625,-1.46875
253,16.09375,-0.884765625,-16.978515625,14.71875,-0.1875
254,17.5,-1.123046875,-18.623046875,17.890625,-0.21875
255,4.82421875,-29.375,-34.19921875,3.5,-23.65625
256,15.0625,-2.55078125,-17.61328125,12.6875,-0.5625
257,9.515625,-11.4921875,-21.0078125,7.53125,-6.8125
258,17.078125,-3.697265625,-20.775390625,17.421875,-0.625
259,10.03125,-6.3984375,-16.4296875,9.4375,-2.25
260,10.96875,-5.9375,-16.90625,8.0,-2.84375
261,17.125,-13.484375,-30.609375,16.890625,-9.90625
262,11.1328125,-2.861328125,-13.994140625,10.15625,-0.1875
263,14.5390625,-4.05078125,-18.58984375,11.703125,-1.8125
264,17.078125,-7.44140625,-24.51953125,17.421875,-3.625
265,10.96875,-3.068359375,-14.037109375,8.0,-0.78125
