layer,k,alpha,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_no_mean,yes_to_no_flips,yes_to_no_flip_rate
20,20,1.0,random_neurons_0,95,13.41233552631579,13.421381578947368,-0.009046052631578948,0,0.0
20,20,1.0,random_neurons_1,95,13.41233552631579,13.405427631578947,0.006907894736842105,0,0.0
20,20,1.0,random_neurons_2,95,13.41233552631579,13.409868421052632,0.0024671052631578946,0,0.0
20,20,1.0,top_writer_neurons,95,13.41233552631579,8.204440789473685,5.207894736842105,0,0.0
20,20,1.5,random_neurons_0,95,13.41233552631579,13.416940789473685,-0.004605263157894736,0,0.0
20,20,1.5,random_neurons_1,95,13.41233552631579,13.410690789473684,0.001644736842105263,0,0.0
20,20,1.5,random_neurons_2,95,13.41233552631579,13.430427631578947,-0.018092105263157895,0,0.0
20,20,1.5,top_writer_neurons,95,13.41233552631579,5.633552631578947,7.7787828947368425,2,0.021052631578947368
20,20,2.0,random_neurons_0,95,13.41233552631579,13.43421052631579,-0.021875,0,0.0
20,20,2.0,random_neurons_1,95,13.41233552631579,13.384046052631579,0.028289473684210528,0,0.0
20,20,2.0,random_neurons_2,95,13.41233552631579,13.430756578947369,-0.018421052631578946,0,0.0
20,20,2.0,top_writer_neurons,95,13.41233552631579,3.280263157894737,10.132072368421053,6,0.06315789473684211
20,20,3.0,random_neurons_0,95,13.41233552631579,13.393092105263158,0.01924342105263158,0,0.0
20,20,3.0,random_neurons_1,95,13.41233552631579,13.435526315789474,-0.02319078947368421,0,0.0
20,20,3.0,random_neurons_2,95,13.41233552631579,13.34391447368421,0.06842105263157895,0,0.0
20,20,3.0,top_writer_neurons,95,13.41233552631579,-0.23684210526315788,13.649177631578947,57,0.6
20,50,1.0,random_neurons_0,95,13.41233552631579,13.407072368421053,0.005263157894736842,0,0.0
20,50,1.0,random_neurons_1,95,13.41233552631579,13.34638157894737,0.06595394736842106,0,0.0
20,50,1.0,random_neurons_2,95,13.41233552631579,13.435690789473684,-0.023355263157894737,0,0.0
20,50,1.0,top_writer_neurons,95,13.41233552631579,7.1009868421052635,6.311348684210526,0,0.0
20,50,1.5,random_neurons_0,95,13.41233552631579,13.421217105263159,-0.008881578947368421,0,0.0
20,50,1.5,random_neurons_1,95,13.41233552631579,13.417434210526316,-0.005098684210526316,0,0.0
20,50,1.5,random_neurons_2,95,13.41233552631579,13.427467105263158,-0.015131578947368421,0,0.0
20,50,1.5,top_writer_neurons,95,13.41233552631579,4.245065789473684,9.167269736842105,4,0.042105263157894736
20,50,2.0,random_neurons_0,95,13.41233552631579,13.474342105263158,-0.06200657894736842,0,0.0
20,50,2.0,random_neurons_1,95,13.41233552631579,13.383881578947369,0.028453947368421054,0,0.0
20,50,2.0,random_neurons_2,95,13.41233552631579,13.416776315789473,-0.0044407894736842105,0,0.0
20,50,2.0,top_writer_neurons,95,13.41233552631579,1.8259868421052632,11.586348684210526,11,0.11578947368421053
20,50,3.0,random_neurons_0,95,13.41233552631579,13.378125,0.034210526315789476,0,0.0
20,50,3.0,random_neurons_1,95,13.41233552631579,13.499342105263159,-0.08700657894736842,0,0.0
20,50,3.0,random_neurons_2,95,13.41233552631579,13.350164473684211,0.062171052631578946,0,0.0
20,50,3.0,top_writer_neurons,95,13.41233552631579,-1.3080592105263158,14.720394736842104,95,1.0
20,100,1.0,random_neurons_0,95,13.41233552631579,13.433223684210526,-0.02088815789473684,0,0.0
20,100,1.0,random_neurons_1,95,13.41233552631579,13.289309210526316,0.12302631578947368,0,0.0
20,100,1.0,random_neurons_2,95,13.41233552631579,13.417598684210526,-0.005263157894736842,0,0.0
20,100,1.0,top_writer_neurons,95,13.41233552631579,5.800657894736842,7.611677631578948,2,0.021052631578947368
20,100,1.5,random_neurons_0,95,13.41233552631579,13.410361842105264,0.001973684210526316,0,0.0
20,100,1.5,random_neurons_1,95,13.41233552631579,13.364473684210527,0.04786184210526316,0,0.0
20,100,1.5,random_neurons_2,95,13.41233552631579,13.484375,-0.07203947368421053,0,0.0
20,100,1.5,top_writer_neurons,95,13.41233552631579,2.6174342105263158,10.794901315789474,8,0.08421052631578947
20,100,2.0,random_neurons_0,95,13.41233552631579,13.467105263157896,-0.05476973684210526,0,0.0
20,100,2.0,random_neurons_1,95,13.41233552631579,13.452138157894737,-0.03980263157894737,0,0.0
20,100,2.0,random_neurons_2,95,13.41233552631579,13.215625,0.19671052631578947,0,0.0
20,100,2.0,top_writer_neurons,95,13.41233552631579,0.2236842105263158,13.188651315789473,38,0.4
20,100,3.0,random_neurons_0,95,13.41233552631579,12.042105263157895,1.3702302631578946,0,0.0
20,100,3.0,random_neurons_1,95,13.41233552631579,13.31578947368421,0.09654605263157895,0,0.0
20,100,3.0,random_neurons_2,95,13.41233552631579,13.629934210526315,-0.2175986842105263,0,0.0
20,100,3.0,top_writer_neurons,95,13.41233552631579,-2.253125,15.665460526315789,95,1.0
22,20,1.0,random_neurons_0,95,13.41233552631579,13.375657894736841,0.03667763157894737,0,0.0
22,20,1.0,random_neurons_1,95,13.41233552631579,13.421052631578947,-0.008717105263157894,0,0.0
22,20,1.0,random_neurons_2,95,13.41233552631579,13.406743421052632,0.005592105263157895,0,0.0
22,20,1.0,top_writer_neurons,95,13.41233552631579,9.058881578947368,4.353453947368421,0,0.0
22,20,1.5,random_neurons_0,95,13.41233552631579,13.382730263157894,0.029605263157894735,0,0.0
22,20,1.5,random_neurons_1,95,13.41233552631579,13.445065789473684,-0.032730263157894735,0,0.0
22,20,1.5,random_neurons_2,95,13.41233552631579,13.34046052631579,0.071875,0,0.0
22,20,1.5,top_writer_neurons,95,13.41233552631579,6.754934210526316,6.657401315789474,2,0.021052631578947368
22,20,2.0,random_neurons_0,95,13.41233552631579,13.417598684210526,-0.005263157894736842,0,0.0
22,20,2.0,random_neurons_1,95,13.41233552631579,13.409210526315789,0.003125,0,0.0
22,20,2.0,random_neurons_2,95,13.41233552631579,13.422368421052632,-0.010032894736842105,0,0.0
22,20,2.0,top_writer_neurons,95,13.41233552631579,4.494736842105263,8.917598684210526,5,0.05263157894736842
22,20,3.0,random_neurons_0,95,13.41233552631579,13.389473684210527,0.02286184210526316,0,0.0
22,20,3.0,random_neurons_1,95,13.41233552631579,13.409210526315789,0.003125,0,0.0
22,20,3.0,random_neurons_2,95,13.41233552631579,13.377302631578948,0.0350328947368421,0,0.0
22,20,3.0,top_writer_neurons,95,13.41233552631579,0.5601973684210526,12.852138157894737,32,0.3368421052631579
22,50,1.0,random_neurons_0,95,13.41233552631579,13.420394736842105,-0.00805921052631579,0,0.0
22,50,1.0,random_neurons_1,95,13.41233552631579,13.410032894736842,0.002302631578947368,0,0.0
22,50,1.0,random_neurons_2,95,13.41233552631579,13.42532894736842,-0.01299342105263158,0,0.0
22,50,1.0,top_writer_neurons,95,13.41233552631579,8.37171052631579,5.040625,0,0.0
22,50,1.5,random_neurons_0,95,13.41233552631579,13.519572368421052,-0.10723684210526316,0,0.0
22,50,1.5,random_neurons_1,95,13.41233552631579,13.548026315789473,-0.1356907894736842,0,0.0
22,50,1.5,random_neurons_2,95,13.41233552631579,13.420230263157896,-0.007894736842105263,0,0.0
22,50,1.5,top_writer_neurons,95,13.41233552631579,5.869078947368421,7.543256578947369,2,0.021052631578947368
22,50,2.0,random_neurons_0,95,13.41233552631579,13.453618421052632,-0.04128289473684211,0,0.0
22,50,2.0,random_neurons_1,95,13.41233552631579,13.416611842105263,-0.0042763157894736845,0,0.0
22,50,2.0,random_neurons_2,95,13.41233552631579,13.377138157894738,0.03519736842105263,0,0.0
22,50,2.0,top_writer_neurons,95,13.41233552631579,3.526644736842105,9.885690789473685,6,0.06315789473684211
22,50,3.0,random_neurons_0,95,13.41233552631579,13.445230263157894,-0.03289473684210526,0,0.0
22,50,3.0,random_neurons_1,95,13.41233552631579,13.410855263157895,0.0014802631578947369,0,0.0
22,50,3.0,random_neurons_2,95,13.41233552631579,13.407565789473685,0.004769736842105263,0,0.0
22,50,3.0,top_writer_neurons,95,13.41233552631579,-0.24078947368421053,13.653125,55,0.5789473684210527
22,100,1.0,random_neurons_0,95,13.41233552631579,13.38092105263158,0.03141447368421053,0,0.0
22,100,1.0,random_neurons_1,95,13.41233552631579,13.411677631578947,0.0006578947368421052,0,0.0
