layer,k,alpha,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_no_mean,yes_to_no_flips,yes_to_no_flip_rate
20,20,2.0,random_neurons_0,95,13.41233552631579,13.432565789473685,-0.020230263157894737,0,0.0
20,20,2.0,random_neurons_1,95,13.41233552631579,13.38453947368421,0.027796052631578947,0,0.0
20,20,2.0,random_neurons_2,95,13.41233552631579,13.429605263157894,-0.017269736842105265,0,0.0
20,20,2.0,top_writer_neurons,95,13.41233552631579,3.0907894736842105,10.321546052631579,0,0.0
20,20,2.5,random_neurons_0,95,13.41233552631579,13.42450657894737,-0.012171052631578947,0,0.0
20,20,2.5,random_neurons_1,95,13.41233552631579,13.420723684210527,-0.008388157894736842,0,0.0
20,20,2.5,random_neurons_2,95,13.41233552631579,13.35345394736842,0.058881578947368424,0,0.0
20,20,2.5,top_writer_neurons,95,13.41233552631579,1.1039473684210526,12.308388157894736,0,0.0
20,20,3.0,random_neurons_0,95,13.41233552631579,13.39671052631579,0.015625,0,0.0
20,20,3.0,random_neurons_1,95,13.41233552631579,13.432401315789473,-0.02006578947368421,0,0.0
20,20,3.0,random_neurons_2,95,13.41233552631579,13.342598684210527,0.06973684210526315,0,0.0
20,20,3.0,top_writer_neurons,95,13.41233552631579,-0.3582236842105263,13.770559210526315,77,0.8105263157894737
20,20,4.0,random_neurons_0,95,13.41233552631579,13.326151315789474,0.0861842105263158,0,0.0
20,20,4.0,random_neurons_1,95,13.41233552631579,13.397039473684211,0.015296052631578948,0,0.0
20,20,4.0,random_neurons_2,95,13.41233552631579,13.426809210526315,-0.014473684210526316,0,0.0
20,20,4.0,top_writer_neurons,95,13.41233552631579,-1.9608552631578948,15.373190789473684,95,1.0
20,50,2.0,random_neurons_0,95,13.41233552631579,13.480592105263158,-0.06825657894736842,0,0.0
20,50,2.0,random_neurons_1,95,13.41233552631579,13.386842105263158,0.02549342105263158,0,0.0
20,50,2.0,random_neurons_2,95,13.41233552631579,13.417598684210526,-0.005263157894736842,0,0.0
20,50,2.0,top_writer_neurons,95,13.41233552631579,1.6766447368421054,11.735690789473685,0,0.0
20,50,2.5,random_neurons_0,95,13.41233552631579,13.411019736842105,0.0013157894736842105,0,0.0
20,50,2.5,random_neurons_1,95,13.41233552631579,13.264309210526315,0.14802631578947367,0,0.0
20,50,2.5,random_neurons_2,95,13.41233552631579,13.419572368421052,-0.007236842105263158,0,0.0
20,50,2.5,top_writer_neurons,95,13.41233552631579,-0.12828947368421054,13.540625,68,0.7157894736842105
20,50,3.0,random_neurons_0,95,13.41233552631579,13.376644736842104,0.03569078947368421,0,0.0
20,50,3.0,random_neurons_1,95,13.41233552631579,13.49391447368421,-0.08157894736842106,0,0.0
20,50,3.0,random_neurons_2,95,13.41233552631579,13.348355263157895,0.06398026315789473,0,0.0
20,50,3.0,top_writer_neurons,95,13.41233552631579,-1.3450657894736842,14.757401315789474,95,1.0
20,50,4.0,random_neurons_0,95,13.41233552631579,13.323684210526316,0.08865131578947369,0,0.0
20,50,4.0,random_neurons_1,95,13.41233552631579,13.368421052631579,0.043914473684210524,0,0.0
20,50,4.0,random_neurons_2,95,13.41233552631579,13.371875,0.040460526315789475,0,0.0
20,50,4.0,top_writer_neurons,95,13.41233552631579,-2.580921052631579,15.993256578947369,95,1.0
20,100,2.0,random_neurons_0,95,13.41233552631579,13.470065789473685,-0.057730263157894736,0,0.0
20,100,2.0,random_neurons_1,95,13.41233552631579,13.451315789473684,-0.03898026315789474,0,0.0
20,100,2.0,random_neurons_2,95,13.41233552631579,13.215625,0.19671052631578947,0,0.0
20,100,2.0,top_writer_neurons,95,13.41233552631579,0.10986842105263157,13.302467105263158,40,0.42105263157894735
20,100,2.5,random_neurons_0,95,13.41233552631579,13.391447368421053,0.02088815789473684,0,0.0
