selection_name,control_type,layers,heads,k,total_heads,random_id,patch_mode,alpha,target_layer,target_neuron,n,normal_no_count,patched_yes_count,no_to_yes_flips,no_to_yes_flip_rate,normal_margin_mean,patched_margin_mean,delta_margin_mean,A_mean_pair_act,D_mean_pair_act,D_minus_A_pair_act,normal_mlp_act_mean,patched_mlp_act_mean,mlp_act_delta_mean,act_shift_toward_A_mean,act_shift_toward_A_rate,act_dist_to_A_before_mean,act_dist_to_A_after_mean,act_dist_reduction_mean,corr_delta_margin_with_act_shift_toward_A,corr_flip_with_act_shift_toward_A,corr_delta_margin_with_dist_reduction
L18_random5_per_layer_r0,random_heads,18,L18H9;L18H10;L18H1;L18H3;L18H6,5,5,0,mean_patch,1.0,22,13149,485,485,0,0,0.0,-24.088498711340208,-23.75715206185567,0.33134664948453607,13.3258056640625,-6.339142648797286,-19.664948312859785,-33.03984375,-32.55434922680412,0.48549452319587627,0.48549452319587627,0.9175257731958762,46.3656494140625,45.88015489086662,0.48549452319587627,0.7203823080228076,,0.7203823080228076
L18_top5_per_layer,top_heads,18,L18H15;L18H18;L18H4;L18H13;L18H20,5,5,-1,mean_patch,1.0,22,13149,485,485,61,61,0.12577319587628866,-24.088498711340208,-9.110728092783505,14.9777706185567,13.3258056640625,-6.339142648797286,-19.664948312859785,-33.03984375,-16.312082947406573,16.727760802593426,16.727760802593426,1.0,46.3656494140625,29.637888611469073,16.727760802593426,0.9109312819323394,0.46242267159670236,0.9109312819323394
