scenario_id,contrast,site,layer,direction_cosine_base_ci,base_direction_norm,ci_direction_norm,direction_norm_ratio_ci_over_base
100034,AD_D_minus_A,recipient_last,0,0.9999969005584717,14.188942909240723,14.182817459106445,0.9995682941165203
100034,AD_D_minus_A,recipient_last,1,0.9999957084655762,27.82368278503418,27.790283203125,0.9987995988105807
100034,AD_D_minus_A,recipient_last,2,0.999985933303833,35.44904327392578,35.48870849609375,1.001118936323936
100034,AD_D_minus_A,recipient_last,3,0.9999779462814331,39.12272262573242,39.1864128112793,1.001627958926994
100034,AD_D_minus_A,recipient_last,4,0.9999619126319885,41.86306381225586,41.9122200012207,1.0011742138412347
100034,AD_D_minus_A,recipient_last,5,0.9999531507492065,41.581119537353516,41.641822814941406,1.0014598759788889
100034,AD_D_minus_A,recipient_last,6,0.9999284148216248,44.502994537353516,44.575843811035156,1.001636952174544
100034,AD_D_minus_A,recipient_last,7,0.9999345541000366,51.225101470947266,51.33760452270508,1.002196248490042
100034,AD_D_minus_A,recipient_last,8,0.9999245405197144,54.92538070678711,55.02156448364258,1.00175117178284
100034,AD_D_minus_A,recipient_last,9,0.9999059438705444,50.69198226928711,50.806114196777344,1.002251478880505
100034,AD_D_minus_A,recipient_last,10,0.9998928308486938,51.168701171875,51.24705505371094,1.001531285337354
100034,AD_D_minus_A,recipient_last,11,0.9998784065246582,51.9101448059082,52.001956939697266,1.0017686741990868
100034,AD_D_minus_A,recipient_last,12,0.999881386756897,53.86183547973633,53.97681427001953,1.0021346987019493
100034,AD_D_minus_A,recipient_last,13,0.9998393654823303,56.91631317138672,57.04655456542969,1.0022882963914193
100034,AD_D_minus_A,recipient_last,14,0.9997867345809937,58.36357879638672,58.505615234375,1.0024336485341965
100034,AD_D_minus_A,recipient_last,15,0.9997259378433228,60.66670227050781,60.800785064697266,1.00221015465109
100034,AD_D_minus_A,recipient_last,16,0.9996354579925537,60.186363220214844,60.39808654785156,1.0035177956651418
100034,AD_D_minus_A,recipient_last,17,0.999575674533844,61.53144836425781,61.763954162597656,1.0037786498533796
100034,AD_D_minus_A,recipient_last,18,0.9995865225791931,63.037803649902344,63.27562713623047,1.0037727121276139
