model,model_short,patch_family,experiment,layer,n,mean_patch_effect,median_patch_effect,mean_aligned_effect,median_aligned_effect,mean_abs_effect,flip_rate
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,4,49,-0.00031887755102040814,0.0,0.00031887755102040814,-0.0,0.01371173469387755,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,5,49,-0.001913265306122449,0.0,0.001913265306122449,-0.0,0.01403061224489796,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,6,49,-0.002551020408163265,0.0,0.002551020408163265,-0.0,0.015306122448979591,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,7,49,0.0009566326530612245,0.0,-0.0009566326530612245,-0.0,0.016900510204081634,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,8,49,0.0012755102040816326,0.0,-0.0012755102040816326,-0.0,0.017857142857142856,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,9,49,0.004464285714285714,0.0,-0.004464285714285714,-0.0,0.023596938775510203,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,10,49,-0.0012755102040816326,0.0,0.0012755102040816326,-0.0,0.028698979591836735,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,11,49,-0.009885204081632654,0.0,0.009885204081632654,-0.0,0.03220663265306122,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,12,49,-0.009885204081632654,0.0,0.009885204081632654,-0.0,0.024553571428571428,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,13,49,-0.04017857142857143,-0.046875,0.04017857142857143,0.046875,0.04846938775510204,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,14,49,-0.061224489795918366,-0.0625,0.061224489795918366,0.0625,0.06951530612244898,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,15,49,-0.17793367346938777,-0.171875,0.17793367346938777,0.171875,0.17793367346938777,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,16,49,-0.2582908163265306,-0.25,0.2582908163265306,0.25,0.2582908163265306,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,17,49,-0.5676020408163265,-0.609375,0.5676020408163265,0.609375,0.5676020408163265,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,18,49,-4.483737244897959,-4.53125,4.483737244897959,4.53125,4.483737244897959,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,19,49,-5.870854591836735,-6.0625,5.870854591836735,6.0625,5.870854591836735,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,20,49,-7.775191326530612,-8.09375,7.775191326530612,8.09375,7.775191326530612,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,21,49,-7.828125,-8.15625,7.828125,8.15625,7.828125,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,22,49,-7.849808673469388,-8.1875,7.849808673469388,8.1875,7.849808673469388,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,23,49,-7.995216836734694,-8.28125,7.995216836734694,8.28125,7.995216836734694,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,24,49,-8.021364795918368,-8.3125,8.021364795918368,8.3125,8.021364795918368,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,25,49,-8.270089285714286,-8.5625,8.270089285714286,8.5625,8.270089285714286,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,26,49,-8.469706632653061,-8.8125,8.469706632653061,8.8125,8.469706632653061,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,27,49,-10.34406887755102,-10.625,10.34406887755102,10.625,10.34406887755102,0.9795918367346939
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,0,49,5.003826530612245,5.46875,5.003826530612245,5.46875,5.279336734693878,0.12244897959183673
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,1,49,5.06218112244898,5.515625,5.06218112244898,5.515625,5.332589285714286,0.12244897959183673
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,2,49,5.128826530612245,5.5,5.128826530612245,5.5,5.391581632653061,0.08163265306122448
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,3,49,5.690051020408164,5.5,5.690051020408164,5.5,5.69515306122449,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,4,49,5.858418367346939,5.84375,5.858418367346939,5.84375,5.858418367346939,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,5,49,6.026147959183674,6.3125,6.026147959183674,6.3125,6.026147959183674,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,6,49,6.332908163265306,6.3125,6.332908163265306,6.3125,6.332908163265306,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,7,49,6.272321428571429,6.375,6.272321428571429,6.375,6.272321428571429,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,8,49,6.291454081632653,6.46875,6.291454081632653,6.46875,6.291454081632653,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,9,49,5.901785714285714,5.46875,5.901785714285714,5.46875,5.901785714285714,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,10,49,5.801020408163265,5.3125,5.801020408163265,5.3125,5.801020408163265,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,11,49,5.3354591836734695,5.0625,5.3354591836734695,5.0625,5.338010204081633,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,12,49,4.153698979591836,4.0,4.153698979591836,4.0,4.184311224489796,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,13,49,2.9330357142857144,2.4375,2.9330357142857144,2.4375,2.9330357142857144,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,14,49,2.5676020408163267,1.96875,2.5676020408163267,1.96875,2.5931122448979593,0.04081632653061224
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,15,49,1.2340561224489797,0.96875,1.2340561224489797,0.96875,1.3590561224489797,0.04081632653061224
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,16,49,0.6065051020408163,0.3125,0.6065051020408163,0.3125,0.7110969387755102,0.04081632653061224
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,17,49,0.27614795918367346,0.09375,0.27614795918367346,0.09375,0.35012755102040816,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,18,49,0.013392857142857142,0.0,0.013392857142857142,0.0,0.028698979591836735,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,19,49,-0.0012755102040816326,0.0,-0.0012755102040816326,0.0,0.017857142857142856,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,20,49,-0.007653061224489796,0.0,-0.007653061224489796,0.0,0.01020408163265306,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,21,49,-0.004464285714285714,0.0,-0.004464285714285714,0.0,0.010841836734693877,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,22,49,-0.005739795918367347,0.0,-0.005739795918367347,0.0,0.01211734693877551,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,23,49,-0.011479591836734694,0.0,-0.011479591836734694,0.0,0.016581632653061226,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,24,49,-0.008290816326530613,0.0,-0.008290816326530613,0.0,0.01211734693877551,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,25,49,-0.004464285714285714,0.0,-0.004464285714285714,0.0,0.01211734693877551,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,26,49,-0.007653061224489796,0.0,-0.007653061224489796,0.0,0.011479591836734694,0.0
